DECLARER, Board 10|19

Contract           Count Overall     Bid    Play
1NT, E, S, 8           1   55.39   55.39   50.00
3NTX, N, S, 9          1    1.79    1.79   50.26   49.74
3S, E, C, 7            4   32.40   29.87   50.02   52.51
3S, E, C, 8            1   12.13   29.87   50.02   32.25
3S, E, H, 7            1   32.40   29.87   52.79   49.74
3S, W, C, 8            1   11.24   11.24   52.02   47.98
4C, S, D, 9            2   93.74   85.44   49.26   59.05
4D, S, S, 10           1   79.83   84.44   44.13   51.26
4DX, N, S, 10          1    4.34   51.91   50.13    2.30
4DX, N, S, 8           1   99.49   51.91   50.13   97.45
4NT, N, H, 9           1   94.35   94.35   49.52   50.48
4S, E, C, 7            1   38.78   38.11   49.80   50.87
4SX, E, C, 7           1  100.00   92.60   48.83   58.57
5C, S, D, 10           1   94.76   96.04   49.49   49.24

DECLARER, Board 7|14

Contract           Count Overall     Bid    Play
1NT, E, C, 4           1   10.20   10.20   50.00
2D, E, S, 3            1    7.81    7.81   50.00
2H, E, D, 7            1   26.03   50.66   25.38
2S, S, C, 8            1   76.08   82.03   44.05
2S, S, C, 9            1   81.98   82.03   49.95
2S, S, D, 9            2   81.98   82.03   49.95
3NT, S, H, 7           1    3.52    3.52   50.00
3S, S, C, 9            1   81.98   81.19   50.79
3S, S, D, 9            2   81.98   81.19   50.79
4HX, E, D, 7           1    0.78    1.99   48.79
4HX, E, D, 8           1    4.41    1.99   52.42
4HX, W, D, 8           1    5.09    5.09   50.00
4S, N, D, 9            2   40.45   40.45   50.00
4S, S, C, 9            3   40.45   40.94   49.51
4S, S, D, 9           22   40.45   40.94   49.51
4S, S, H, 9            7   40.45   40.94   49.51
4SX, S, D, 11          1   99.98    5.78  144.19
4SX, S, D, 9           1    3.52    5.78   47.73

DEFENDER, Board 7|14

Contract           Count Overall     Bid    Lead Restdef
1NT, E, C, 4           1   89.80   89.80   50.00   50.00
2D, E, S, 3            1   92.19   92.19   49.65   50.35
2H, E, D, 7            1   73.97   49.34   49.63   74.99
2S, S, C, 8            1   23.92   17.97   50.57   55.38
2S, S, C, 9            1   18.02   17.97   50.57   49.48
2S, S, D, 9            2   18.02   17.97   49.12   50.93
3NT, S, H, 7           1   96.48   96.48   52.50   47.50
3S, S, C, 9            1   18.02   18.81   56.02   43.19
3S, S, D, 9            2   18.02   18.81   48.27   50.93
4HX, E, D, 7           1   99.22   98.01   48.93   52.28
4HX, E, D, 8           1   95.59   98.01   48.93   48.65
4HX, W, D, 8           1   94.91   94.91   49.99   50.01
4S, N, D, 9            2   59.55   59.55   52.70   47.30
4S, S, C, 9            3   59.55   59.06   59.31   41.18
4S, S, D, 9           22   59.55   59.06   51.10   49.38
4S, S, H, 9            7   59.55   59.06   53.18   47.30
4SX, S, D, 11          1    0.02   94.22   51.23  -45.42
4SX, S, D, 9           1   96.48   94.22   51.23   51.04

DECLARER, Board 8|15

Contract           Count Overall     Bid    Play
2C, W, C, 10           1   28.09   28.09   50.00
2H, E, D, 10          10   63.61   55.83   57.77
2H, E, D, 11           1   83.59   55.83   77.76
2H, E, D, 7            1    3.29   55.83   -2.54
2H, E, D, 8            1   10.55   55.83    4.71
2H, E, D, 9            2   48.11   55.83   42.28
2H, E, H, 10           1   63.61   55.83   57.77
2H, W, C, 10           1   63.54   48.43   65.11
2H, W, C, 7            1    3.10   48.43    4.66
2H, W, D, 10           1   63.54   48.43   65.11
2H, W, S, 10           1   63.54   48.43   65.11
2S, S, H, 7            1   93.10   94.09   49.01
3C, E, D, 10           9   28.09   28.09   50.00
3C, E, S, 10           1   28.09   28.09   50.00
3C, W, D, 10           1   28.09   28.09   50.00
3D, S, C, 7            1   15.45   15.45   50.00
3NT, W, H, 9           1   92.03   92.03   50.00
3S, N, C, 8            1   92.27   41.29  100.99
3S, S, C, 7            2   15.60   26.52   39.07
3S, S, C, 8            1   92.08   26.52  115.56
3SX, N, C, 7           1    3.30    7.13   46.18
3SX, N, H, 7           1    3.30    7.13   46.18
3SX, S, C, 7           3    3.11    4.75   48.36
4C, E, D, 10           5   28.09   28.09   50.00
5C, E, D, 10           1    2.33    2.33   50.00

DEFENDER, Board 8|15

Contract           Count Overall     Bid    Lead Restdef
2C, W, C, 10           1   71.91   71.91   47.47   52.53
2H, E, D, 10          10   36.39   44.17   48.35   43.87
2H, E, D, 11           1   16.41   44.17   48.35   23.89
2H, E, D, 7            1   96.71   44.17   48.35  104.19
2H, E, D, 8            1   89.45   44.17   48.35   96.94
2H, E, D, 9            2   51.89   44.17   48.35   59.37
2H, E, H, 10           1   36.39   44.17   39.51   52.72
2H, W, C, 10           1   36.46   51.57   64.25   20.64
2H, W, C, 7            1   96.90   51.57   64.25   81.09
2H, W, D, 10           1   36.46   51.57   32.11   52.78
2H, W, S, 10           1   36.46   51.57   32.11   52.78
2S, S, H, 7            1    6.90    5.91   52.25   48.74
3C, E, D, 10           9   71.91   71.91   47.47   52.53
3C, E, S, 10           1   71.91   71.91   47.47   52.53
3C, W, D, 10           1   71.91   71.91   47.47   52.53
3D, S, C, 7            1   84.55   84.55   50.15   49.85
3NT, W, H, 9           1    7.97    7.97   52.24   47.76
3S, N, C, 8            1    7.73   58.71   37.71   11.30
3S, S, C, 7            2   84.40   73.48   48.46   62.46
3S, S, C, 8            1    7.92   73.48   48.46  -14.02
3SX, N, C, 7           1   96.70   92.87   47.43   56.39
3SX, N, H, 7           1   96.70   92.87   53.05   50.78
3SX, S, C, 7           3   96.89   95.25   48.80   52.84
4C, E, D, 10           5   71.91   71.91   47.47   52.53
5C, E, D, 10           1   97.67   97.67   50.29   49.71

DECLARER, Board 8|16

Contract           Count Overall     Bid    Play
4H, N, C, 12           2   19.96   20.19   49.76
4H, N, D, 12           1   19.96   20.19   49.76
4H, N, H, 12           2   19.96   20.19   49.76
4H, N, S, 12           1   19.96   20.19   49.76
4H, S, S, 12           1   19.93   19.93   50.00
5H, N, H, 12           3   19.96   20.19   49.76
5H, N, S, 13           1   30.16   20.19   59.97
6H, N, C, 12          15   65.45   66.23   49.22
6H, N, D, 12           1   65.45   66.23   49.22
6H, N, H, 12           3   65.45   66.23   49.22
6H, N, S, 12           9   65.45   66.23   49.22
6H, S, C, 12           4   65.42   65.42   50.00
6H, S, S, 12           2   65.42   65.42   50.00
7H, N, H, 12           1    5.98    8.16   47.82
7H, N, S, 12           2    5.98    8.16   47.82
7HX, N, S, 12          2    1.00    3.30   47.70

DEFENDER, Board 8|16

Contract           Count Overall     Bid    Lead Restdef
4H, N, C, 12           2   80.04   79.81   50.81   49.43
4H, N, D, 12           1   80.04   79.81   50.81   49.43
4H, N, H, 12           2   80.04   79.81   50.81   49.43
4H, N, S, 12           1   80.04   79.81   50.06   50.18
4H, S, S, 12           1   80.07   80.07   50.55   49.45
5H, N, H, 12           3   80.04   79.81   50.81   49.43
5H, N, S, 13           1   69.84   79.81   50.06   39.97
6H, N, C, 12          15   34.55   33.77   49.91   50.88
6H, N, D, 12           1   34.55   33.77   49.91   50.88
6H, N, H, 12           3   34.55   33.77   49.91   50.88
6H, N, S, 12           9   34.55   33.77   47.66   53.12
6H, S, C, 12           4   34.58   34.58   49.10   50.90
6H, S, S, 12           2   34.58   34.58   49.10   50.90
7H, N, H, 12           1   94.02   91.84   52.04   50.14
7H, N, S, 12           2   94.02   91.84   45.78   56.40
7HX, N, S, 12          2   99.00   96.70   45.68   56.62

DECLARER, Board 9|17

Contract           Count Overall     Bid    Play
3NT, N, D, 8           4    9.41    9.41   50.00
3NT, S, H, 10          1   53.41   55.16   48.25
3NT, S, S, 11          1   57.49   55.16   52.33
3NTX, S, S, 11         1   96.43   95.93   50.50
4C, N, D, 11           2   22.68   22.68   50.00
4DX, E, S, 8           1   71.00   75.36   45.64
4NT, S, H, 10          2   53.41   55.16   48.25
4NT, S, S, 11          1   57.49   55.16   52.33
4NTX, N, D, 8          1    0.23    0.23   50.00
4NTX, S, H, 10         1   94.39   94.89   49.50
4SX, E, C, 7           2   30.97   58.39   22.57
4SX, E, C, 8           1   70.65   58.39   62.26
4SX, E, H, 8           1   70.65   58.39   62.26
4SX, E, H, 9           1   81.15   58.39   72.76
4SX, E, S, 9           1   81.15   58.39   72.76
5C, N, D, 11           7   41.89   41.89   50.00
5C, S, H, 11           1   41.89   41.89   50.00
5CX, N, D, 11          6   86.22   86.22   50.00
5CX, N, H, 11          1   86.22   86.22   50.00
5CXX, N, D, 11         1   99.23   99.23   50.00
5DX, E, C, 9           1   70.10   40.55   79.54
5DX, E, S, 10          1   81.01   40.55   90.45
5DX, E, S, 8           6   30.56   40.55   40.00
5SX, E, C, 7           1    1.40   29.35   22.05
5SX, E, C, 8           1   30.20   29.35   50.85
6C, N, D, 11           2    9.41    9.41   50.00
6CX, N, D, 11          1    2.27    2.27   50.00

DEFENDER, Board 9|17

Contract           Count Overall     Bid    Lead Restdef
3NT, N, D, 8           4   90.59   90.59   50.23   49.77
3NT, S, H, 10          1   46.59   44.84   52.10   49.65
3NT, S, S, 11          1   42.51   44.84   47.00   50.67
3NTX, S, S, 11         1    3.57    4.07   50.01   49.49
4C, N, D, 11           2   77.32   77.32   49.21   50.79
4DX, E, S, 8           1   29.00   24.64   51.26   53.10
4NT, S, H, 10          2   46.59   44.84   52.10   49.65
4NT, S, S, 11          1   42.51   44.84   47.00   50.67
4NTX, N, D, 8          1   99.77   99.77   50.23   49.77
4NTX, S, H, 10         1    5.61    5.11   51.01   49.49
4SX, E, C, 7           2   69.03   41.61   61.86   65.56
4SX, E, C, 8           1   29.35   41.61   61.86   25.88
4SX, E, H, 8           1   29.35   41.61   32.37   55.37
4SX, E, H, 9           1   18.85   41.61   32.37   44.87
4SX, E, S, 9           1   18.85   41.61   26.76   50.48
5C, N, D, 11           7   58.11   58.11   50.06   49.94
5C, S, H, 11           1   58.11   58.11   50.06   49.94
5CX, N, D, 11          6   13.78   13.78   50.51   49.49
5CX, N, H, 11          1   13.78   13.78   50.51   49.49
5CXX, N, D, 11         1    0.77    0.77   50.26   49.74
5DX, E, C, 9           1   29.90   59.45   20.15   50.31
5DX, E, S, 10          1   18.99   59.45   53.57    5.98
5DX, E, S, 8           6   69.44   59.45   53.57   56.43
5SX, E, C, 7           1   98.60   70.65   66.50   61.45
5SX, E, C, 8           1   69.80   70.65   66.50   32.66
6C, N, D, 11           2   90.59   90.59   50.23   49.77
6CX, N, D, 11          1   97.73   97.73   50.23   49.77

DECLARER, Board 9|18

Contract           Count Overall     Bid    Play
2S, W, D, 10           1    2.99    3.33   49.66
3NT, E, D, 10          1   42.58   31.44   61.14
3NT, E, D, 9           1    9.15   31.44   27.71
3NT, E, H, 10          1   42.58   31.44   61.14
3S, E, C, 10           1    3.52    4.92   48.61
3S, E, C, 11           1    5.56    4.92   50.65
4S, E, C, 10          11   25.88   57.83   18.05
4S, E, C, 11          25   72.67   57.83   64.83
4S, E, D, 10           1   25.88   57.83   18.05
4S, E, D, 11           1   72.67   57.83   64.83
4S, W, D, 10           3   25.36   33.15   42.20
4S, W, D, 11           1   72.14   33.15   88.99
5S, E, C, 11           1   72.67   49.90   72.77
5S, W, D, 10           1    0.32   12.29   38.03

DEFENDER, Board 9|18

Contract           Count Overall     Bid    Lead Restdef
2S, W, D, 10           1   97.01   96.67   49.76   50.58
3NT, E, D, 10          1   57.42   68.56   56.44   32.42
3NT, E, D, 9           1   90.85   68.56   56.44   65.85
3NT, E, H, 10          1   57.42   68.56   39.60   49.25
3S, E, C, 10           1   96.48   95.08   49.73   51.66
3S, E, C, 11           1   94.44   95.08   49.73   49.62
4S, E, C, 10          11   74.12   42.17   50.14   81.81
4S, E, C, 11          25   27.33   42.17   50.14   35.02
4S, E, D, 10           1   74.12   42.17   59.37   72.59
4S, E, D, 11           1   27.33   42.17   59.37   25.80
4S, W, D, 10           3   74.64   66.85   50.67   57.13
4S, W, D, 11           1   27.86   66.85   50.67   10.34
5S, E, C, 11           1   27.33   50.10   49.74   27.49
5S, W, D, 10           1   99.68   87.71   50.22   61.75

