DECLARER, Board 10|1

Contract           Count Overall     Bid    Play
1NT, N, D, 6           5   -0.56   -0.56   -0.00
4SX, E, H, 9           1    8.52    8.52    0.00    0.00
5D, E, C, 11           1   -2.51    7.11   -9.61    0.00
5H, S, D, 8            1   -3.30   -3.30    0.00    0.00
5H, S, H, 8            1   -3.30   -3.30    0.00    0.00

DECLARER, Board 10|9

Contract           Count Overall     Bid    Play
4S, W, C, 12           3  -11.66  -11.44   -0.23
4S, W, C, 13           1  -11.32  -11.44    0.11
4S, W, D, 13           1  -11.32  -11.44    0.11
5CX, N, H, 5           1    0.49    0.49   -0.00
5S, W, C, 13           1  -11.32  -11.44    0.11
5S, W, H, 12           2  -11.66  -11.44   -0.23
6NT, E, C, 13          1    1.36    1.36   -0.00
6NT, E, D, 13          1    1.36    1.36   -0.00
6S, E, C, 12           2    0.43    1.09   -0.66
6S, E, C, 13           5    1.32    1.09    0.24
6S, E, D, 12           1    0.43    1.09   -0.66
6S, E, D, 13           2    1.32    1.09    0.24
6S, E, H, 12           1    0.43    1.09   -0.66
6S, E, H, 13           2    1.32    1.09    0.24
6S, E, S, 13           1    1.32    1.09    0.24
6S, W, C, 12           9    0.43    1.03   -0.60
6S, W, C, 13          24    1.32    1.03    0.30
6S, W, D, 12           1    0.43    1.03   -0.60
6S, W, D, 13           2    1.32    1.03    0.30
6S, W, H, 12           4    0.43    1.03   -0.60
6S, W, H, 13           6    1.32    1.03    0.30
6S, W, S, 13           3    1.32    1.03    0.30
7S, E, D, 13           1   13.14    5.18    7.96
7S, W, C, 12           1  -16.70    3.19  -19.90
7S, W, C, 13           2   13.14    3.19    9.95

DEFENDER, Board 10|9

Contract           Count Overall     Bid    Lead Restdef
4S, W, C, 12           3   11.66   11.44   -0.01    0.23
4S, W, C, 13           1   11.32   11.44   -0.01   -0.11
4S, W, D, 13           1   11.32   11.44   -0.03   -0.08
5CX, N, H, 5           1   -0.49   -0.49    0.00    0.00
5S, W, C, 13           1   11.32   11.44   -0.01   -0.11
5S, W, H, 12           2   11.66   11.44    0.06    0.17
6NT, E, C, 13          1   -1.36   -1.36    0.00    0.00
6NT, E, D, 13          1   -1.36   -1.36    0.00    0.00
6S, E, C, 12           2   -0.43   -1.09    0.02    0.64
6S, E, C, 13           5   -1.32   -1.09    0.02   -0.26
6S, E, D, 12           1   -0.43   -1.09   -0.01    0.67
6S, E, D, 13           2   -1.32   -1.09   -0.01   -0.22
6S, E, H, 12           1   -0.43   -1.09    0.06    0.60
6S, E, H, 13           2   -1.32   -1.09    0.06   -0.30
6S, E, S, 13           1   -1.32   -1.09   -0.24    0.00
6S, W, C, 12           9   -0.43   -1.03   -0.01    0.61
6S, W, C, 13          24   -1.32   -1.03   -0.01   -0.28
6S, W, D, 12           1   -0.43   -1.03   -0.07    0.67
6S, W, D, 13           2   -1.32   -1.03   -0.07   -0.22
6S, W, H, 12           4   -0.43   -1.03    0.15    0.45
6S, W, H, 13           6   -1.32   -1.03    0.15   -0.45
6S, W, S, 13           3   -1.32   -1.03   -0.30    0.00
7S, E, D, 13           1  -13.14   -5.18   -0.50   -7.46
7S, W, C, 12           1   16.70   -3.19   -0.49   20.38
7S, W, C, 13           2  -13.14   -3.19   -0.49   -9.46

DECLARER, Board 11|11

Contract           Count Overall     Bid    Play
2H, W, C, 9            1    3.06    1.62    1.44
3C, E, H, 10           4    2.95    2.98   -0.03
3C, E, H, 11           1    3.17    2.98    0.19
3D, N, D, 9            1    2.97    3.27   -0.29
3D, N, H, 10           1    3.56    3.27    0.29
3D, N, S, 9            1    2.97    3.27   -0.29
3D, S, C, 9            2    2.97    3.03   -0.05
3D, S, S, 9            2    2.97    3.03   -0.05
3DX, S, S, 9           1   10.01   10.11   -0.10
3H, W, D, 7            1   -2.96   -0.57   -2.39
3NT, E, D, 8          13   -1.39   -0.69   -0.70
3NT, E, D, 9           1    8.47   -0.69    9.15
3S, E, H, 8            1   -1.39    0.40   -1.79
3S, N, C, 7            1   -2.03   -2.03   -0.00
3S, W, C, 10           1    3.97    1.86    2.11
3S, W, C, 8            1   -1.39    1.86   -3.25
3S, W, D, 10           1    3.97    1.86    2.11
3S, W, D, 11           1    4.25    1.86    2.38
4C, E, H, 10           1    2.95    2.98   -0.03
4C, E, H, 11           1    3.17    2.98    0.19
4D, N, C, 10           1    3.56    1.31    2.25
4D, S, C, 9            2   -0.94   -0.53   -0.41
4D, S, S, 9            1   -0.94   -0.53   -0.41
4H, W, C, 8            5   -2.96   -2.85   -0.11
4H, W, C, 9            1   -1.39   -2.85    1.46
4H, W, D, 6            1   -5.27   -2.85   -2.42
4H, W, D, 8            1   -2.96   -2.85   -0.11
4H, W, D, 9            1   -1.39   -2.85    1.46
4S, E, C, 8            1   -2.96    0.92   -3.88
4S, E, D, 10           1    8.68    0.92    7.76
4S, W, C, 8            7   -2.96    3.38   -6.35
4S, W, C, 9            1   -1.39    3.38   -4.77
4S, W, D, 10           4    8.68    3.38    5.29
4S, W, D, 12           3    9.43    3.38    6.04
5C, E, C, 10           1   -1.39   -0.08   -1.31
5CX, E, H, 10          7   -2.96   -1.18   -1.78
5D, S, S, 9            1   -2.03   -1.93   -0.10
5DX, S, C, 9           1   -6.44   -6.04   -0.40
5DX, S, D, 10          1   -2.03   -6.04    4.01

DEFENDER, Board 11|11

Contract           Count Overall     Bid    Lead Restdef
2H, W, C, 9            1   -3.06   -1.62   -0.80   -0.64
3C, E, H, 10           4   -2.95   -2.98   -0.00    0.03
3C, E, H, 11           1   -3.17   -2.98   -0.00   -0.19
3D, N, D, 9            1   -2.97   -3.27    0.29    0.00
3D, N, H, 10           1   -3.56   -3.27   -0.29    0.00
3D, N, S, 9            1   -2.97   -3.27    0.29    0.00
3D, S, C, 9            2   -2.97   -3.03    0.05    0.00
3D, S, S, 9            2   -2.97   -3.03    0.05    0.00
3DX, S, S, 9           1  -10.01  -10.11    0.10    0.00
3H, W, D, 7            1    2.96    0.57    0.79    1.60
3NT, E, D, 8          13    1.39    0.69    0.00    0.70
3NT, E, D, 9           1   -8.47    0.69    0.00   -9.15
3S, E, H, 8            1    1.39   -0.40    1.79    0.00
3S, N, C, 7            1    2.03    2.03    0.00    0.00
3S, W, C, 10           1   -3.97   -1.86    2.27   -4.38
3S, W, C, 8            1    1.39   -1.86    2.27    0.98
3S, W, D, 10           1   -3.97   -1.86   -2.52    0.41
3S, W, D, 11           1   -4.25   -1.86   -2.52    0.14
4C, E, H, 10           1   -2.95   -2.98   -0.00    0.03
4C, E, H, 11           1   -3.17   -2.98   -0.00   -0.19
4D, N, C, 10           1   -3.56   -1.31   -2.25    0.00
4D, S, C, 9            2    0.94    0.53    0.41    0.00
4D, S, S, 9            1    0.94    0.53    0.41    0.00
4H, W, C, 8            5    2.96    2.85   -0.34    0.45
4H, W, C, 9            1    1.39    2.85   -0.34   -1.12
4H, W, D, 6            1    5.27    2.85    0.59    1.83
4H, W, D, 8            1    2.96    2.85    0.59   -0.48
4H, W, D, 9            1    1.39    2.85    0.59   -2.05
4S, E, C, 8            1    2.96   -0.92    3.88    0.00
4S, E, D, 10           1   -8.68   -0.92   -7.76    0.00
4S, W, C, 8            7    2.96   -3.38    5.02    1.32
4S, W, C, 9            1    1.39   -3.38    5.02   -0.25
4S, W, D, 10           4   -8.68   -3.38   -5.58    0.29
4S, W, D, 12           3   -9.43   -3.38   -5.58   -0.46
5C, E, C, 10           1    1.39    0.08    1.31    0.00
5CX, E, H, 10          7    2.96    1.18   -0.13    1.91
5D, S, S, 9            1    2.03    1.93    0.10    0.00
5DX, S, C, 9           1    6.44    6.04    0.40    0.00
5DX, S, D, 10          1    2.03    6.04   -4.01    0.00

DECLARER, Board 11|12

Contract           Count Overall     Bid    Play
1NT, S, H, 6           1    2.99    2.14    0.84
1NT, W, D, 7           1   -3.14   -3.14   -0.00
1NTX, S, H, 5          1   -6.29   -1.79   -4.50
1S, E, D, 10           1   -1.16   -1.35    0.19
2C, N, H, 4            1   -4.09   -4.09   -0.00
2C, W, S, 10           2   -2.14   -2.48    0.34
2C, W, S, 11           1   -1.88   -2.48    0.60
2C, W, S, 8            1   -3.14   -2.48   -0.66
2C, W, S, 9            1   -2.79   -2.48   -0.31
2D, N, D, 7            1    2.99    1.72    1.26
2D, N, H, 7            1    2.99    1.72    1.26
2DX, N, C, 6           1   -6.29   -2.91   -3.38
2DX, N, C, 7           1    0.46   -2.91    3.37
2DX, N, H, 6           1   -6.29   -2.91   -3.38
2DX, N, H, 7           1    0.46   -2.91    3.37
2H, S, H, 5            1   -2.04   -2.04   -0.00
2NT, S, C, 5           1   -2.04   -0.37   -1.67
2NT, S, H, 6           2    0.46   -0.37    0.83
2NTX, S, D, 6          1   -6.29   -7.83    1.54
2S, E, C, 10           1   -1.16   -1.35    0.19
2S, E, C, 9            1   -1.97   -1.35   -0.62
2S, E, D, 10           2   -1.16   -1.35    0.19
2S, E, H, 10           1   -1.16   -1.35    0.19
2S, E, H, 9            1   -1.97   -1.35   -0.62
2S, E, S, 10           3   -1.16   -1.35    0.19
2S, E, S, 9            4   -1.97   -1.35   -0.62
2S, W, D, 9            1   -1.97   -1.65   -0.33
3C, W, D, 9            1   -2.79   -3.19    0.40
3C, W, S, 10           2   -2.14   -3.19    1.04
3DX, N, H, 6           2  -10.92   -8.61   -2.32
3NT, E, D, 8           1   -6.32   -6.32   -0.00
3S, E, D, 10           3   -1.16   -1.43    0.27
3S, E, D, 9            1   -1.97   -1.43   -0.54
3S, E, H, 10           1   -1.16   -1.43    0.27
3S, E, H, 11           1   -0.46   -1.43    0.97
3S, E, S, 10           2   -1.16   -1.43    0.27
3S, W, D, 10           2   -1.16   -1.65    0.49
3S, W, D, 9            1   -1.97   -1.65   -0.33
4S, E, C, 10           1    4.62    1.27    3.35
4S, E, D, 10           8    4.62    1.27    3.35
4S, E, D, 11           1    5.30    1.27    4.03
4S, E, D, 8            1   -7.41    1.27   -8.68
4S, E, H, 10           3    4.62    1.27    3.35
4S, E, H, 11           2    5.30    1.27    4.03
4S, E, H, 9            5   -6.32    1.27   -7.58
4S, E, S, 9            1   -6.32    1.27   -7.58
4S, W, C, 9            1   -6.32   -1.94   -4.37
4SX, E, H, 11          1    9.50    3.27    6.23
5C, W, S, 8            1   -8.18   -5.82   -2.37

DEFENDER, Board 11|12

Contract           Count Overall     Bid    Lead Restdef
1NT, S, H, 6           1   -2.99   -2.14   -0.21   -0.63
1NT, W, D, 7           1    3.14    3.14    0.00    0.00
1NTX, S, H, 5          1    6.29    1.79   -0.56    5.06
1S, E, D, 10           1    1.16    1.35   -0.09   -0.10
2C, N, H, 4            1    4.09    4.09    0.00    0.00
2C, W, S, 10           2    2.14    2.48   -0.04   -0.30
2C, W, S, 11           1    1.88    2.48   -0.04   -0.56
2C, W, S, 8            1    3.14    2.48   -0.04    0.70
2C, W, S, 9            1    2.79    2.48   -0.04    0.35
2D, N, D, 7            1   -2.99   -1.72   -1.26    0.00
2D, N, H, 7            1   -2.99   -1.72    0.25   -1.52
2DX, N, C, 6           1    6.29    2.91    0.00    3.38
2DX, N, C, 7           1   -0.46    2.91    0.00   -3.37
2DX, N, H, 6           1    6.29    2.91    0.67    2.70
2DX, N, H, 7           1   -0.46    2.91    0.67   -4.05
2H, S, H, 5            1    2.04    2.04    0.00    0.00
2NT, S, C, 5           1    2.04    0.37    1.67    0.00
2NT, S, H, 6           2   -0.46    0.37   -0.21   -0.63
2NTX, S, D, 6          1    6.29    7.83   -1.54    0.00
2S, E, C, 10           1    1.16    1.35    0.08   -0.27
2S, E, C, 9            1    1.97    1.35    0.08    0.54
2S, E, D, 10           2    1.16    1.35   -0.09   -0.10
2S, E, H, 10           1    1.16    1.35   -0.05   -0.14
2S, E, H, 9            1    1.97    1.35   -0.05    0.68
2S, E, S, 10           3    1.16    1.35    0.21   -0.41
2S, E, S, 9            4    1.97    1.35    0.21    0.41
2S, W, D, 9            1    1.97    1.65   -0.08    0.41
3C, W, D, 9            1    2.79    3.19   -0.40    0.00
3C, W, S, 10           2    2.14    3.19    0.05   -1.09
3DX, N, H, 6           2   10.92    8.61    0.46    1.85
3NT, E, D, 8           1    6.32    6.32    0.00    0.00
3S, E, D, 10           3    1.16    1.43    0.04   -0.31
3S, E, D, 9            1    1.97    1.43    0.04    0.51
3S, E, H, 10           1    1.16    1.43   -0.13   -0.14
3S, E, H, 11           1    0.46    1.43   -0.13   -0.84
3S, E, S, 10           2    1.16    1.43    0.14   -0.41
3S, W, D, 10           2    1.16    1.65   -0.08   -0.41
3S, W, D, 9            1    1.97    1.65   -0.08    0.41
4S, E, C, 10           1   -4.62   -1.27    0.29   -3.64
4S, E, D, 10           8   -4.62   -1.27   -2.04   -1.31
4S, E, D, 11           1   -5.30   -1.27   -2.04   -1.99
4S, E, D, 8            1    7.41   -1.27   -2.04   10.72
4S, E, H, 10           3   -4.62   -1.27    0.84   -4.19
4S, E, H, 11           2   -5.30   -1.27    0.84   -4.88
4S, E, H, 9            5    6.32   -1.27    0.84    6.74
4S, E, S, 9            1    6.32   -1.27    2.12    5.47
4S, W, C, 9            1    6.32    1.94    4.37    0.00
4SX, E, H, 11          1   -9.50   -3.27    1.06   -7.28
5C, W, S, 8            1    8.18    5.82   -0.20    2.57

DECLARER, Board 11|13

Contract           Count Overall     Bid    Play
1NT, N, C, 6           1   -3.75    0.24   -3.99
1NT, N, C, 7           2    1.32    0.24    1.09
1NT, N, C, 8           6    2.29    0.24    2.05
1NT, N, D, 6           1   -3.75    0.24   -3.99
1NT, N, D, 8           2    2.29    0.24    2.05
1NT, N, H, 5           1   -6.04    0.24   -6.27
1NT, N, H, 6          11   -3.75    0.24   -3.99
1NT, N, H, 7          21    1.32    0.24    1.09
1NT, N, H, 8           3    2.29    0.24    2.05
1NT, N, S, 7           4    1.32    0.24    1.09
1NT, N, S, 8           2    2.29    0.24    2.05
1NT, S, C, 7           3    1.32   -0.37    1.69
1NT, S, H, 6           1   -3.75   -0.37   -3.39
1NT, S, H, 7           1    1.32   -0.37    1.69
2D, N, C, 7            3   -3.75   -0.04   -3.71
2D, N, C, 8            7    1.32   -0.04    1.37
2D, N, C, 9            1    2.03   -0.04    2.07
2D, N, D, 8            1    1.32   -0.04    1.37
2D, N, H, 6            1   -6.04   -0.04   -6.00
2D, N, S, 8            1    1.32   -0.04    1.37
2H, S, S, 7            1   -3.75   -3.75   -0.00
pass                   4   -1.27   -1.27   -0.00

DEFENDER, Board 11|13

Contract           Count Overall     Bid    Lead Restdef
1NT, N, C, 6           1    3.75   -0.24   -1.25    5.24
1NT, N, C, 7           2   -1.32   -0.24   -1.25    0.16
1NT, N, C, 8           6   -2.29   -0.24   -1.25   -0.80
1NT, N, D, 6           1    3.75   -0.24   -0.04    4.03
1NT, N, D, 8           2   -2.29   -0.24   -0.04   -2.01
1NT, N, H, 5           1    6.04   -0.24    0.59    5.69
1NT, N, H, 6          11    3.75   -0.24    0.59    3.40
1NT, N, H, 7          21   -1.32   -0.24    0.59   -1.68
1NT, N, H, 8           3   -2.29   -0.24    0.59   -2.64
1NT, N, S, 7           4   -1.32   -0.24   -1.41    0.32
1NT, N, S, 8           2   -2.29   -0.24   -1.41   -0.64
1NT, S, C, 7           3   -1.32    0.37   -1.69    0.00
1NT, S, H, 6           1    3.75    0.37    1.69    1.69
1NT, S, H, 7           1   -1.32    0.37    1.69   -3.39
2D, N, C, 7            3    3.75    0.04   -0.25    3.96
2D, N, C, 8            7   -1.32    0.04   -0.25   -1.12
2D, N, C, 9            1   -2.03    0.04   -0.25   -1.82
2D, N, D, 8            1   -1.32    0.04   -1.37    0.00
2D, N, H, 6            1    6.04    0.04    6.00    0.00
2D, N, S, 8            1   -1.32    0.04   -1.37    0.00
2H, S, S, 7            1    3.75    3.75    0.00    0.00
pass                   4    1.27    1.27    0.00    0.00

DECLARER, Board 11|14

Contract           Count Overall     Bid    Play
1NT, S, D, 7           1    0.25   -0.33    0.58
1S, S, C, 11           1    2.69    2.37    0.32
2NT, N, C, 7           2   -3.29   -3.29   -0.00
2NT, N, D, 7           1   -3.29   -3.29   -0.00
2NT, S, C, 6           2   -4.77   -2.67   -2.09
2NT, S, C, 7          10   -3.29   -2.67   -0.61
2NT, S, C, 8           3    1.10   -2.67    3.78
2NT, S, C, 9           2    1.43   -2.67    4.10
2NT, S, D, 4           1   -6.77   -2.67   -4.09
2NT, S, D, 5           1   -5.73   -2.67   -3.06
2NT, S, D, 6           5   -4.77   -2.67   -2.09
2NT, S, D, 7          16   -3.29   -2.67   -0.61
2NT, S, D, 8           5    1.10   -2.67    3.78
2S, N, H, 10           1    2.43    2.43   -0.00
2S, S, C, 10           4    2.43    2.37    0.06
2S, S, C, 11           1    2.69    2.37    0.32
3H, E, S, 5            1   -2.69   -2.69   -0.00
3S, S, C, 10           7    2.43    2.37    0.06
3S, S, C, 9            1    1.43    2.37   -0.94
3S, S, D, 9            1    1.43    2.37   -0.94
4S, N, C, 10           2    7.43    7.43   -0.00
4S, N, S, 10           1    7.43    7.43   -0.00
4S, S, C, 10           9    7.43    6.59    0.83

DEFENDER, Board 11|14

Contract           Count Overall     Bid    Lead Restdef
1NT, S, D, 7           1   -0.25    0.33    0.26   -0.84
1S, S, C, 11           1   -2.69   -2.37   -0.04   -0.28
2NT, N, C, 7           2    3.29    3.29    0.00    0.00
2NT, N, D, 7           1    3.29    3.29    0.00    0.00
2NT, S, C, 6           2    4.77    2.67   -0.54    2.64
2NT, S, C, 7          10    3.29    2.67   -0.54    1.16
2NT, S, C, 8           3   -1.10    2.67   -0.54   -3.23
2NT, S, C, 9           2   -1.43    2.67   -0.54   -3.56
2NT, S, D, 4           1    6.77    2.67    0.32    3.78
2NT, S, D, 5           1    5.73    2.67    0.32    2.74
2NT, S, D, 6           5    4.77    2.67    0.32    1.78
2NT, S, D, 7          16    3.29    2.67    0.32    0.30
2NT, S, D, 8           5   -1.10    2.67    0.32   -4.09
2S, N, H, 10           1   -2.43   -2.43    0.00    0.00
2S, S, C, 10           4   -2.43   -2.37   -0.04   -0.02
2S, S, C, 11           1   -2.69   -2.37   -0.04   -0.28
3H, E, S, 5            1    2.69    2.69    0.00    0.00
3S, S, C, 10           7   -2.43   -2.37   -0.04   -0.02
3S, S, C, 9            1   -1.43   -2.37   -0.04    0.98
3S, S, D, 9            1   -1.43   -2.37    0.94    0.00
4S, N, C, 10           2   -7.43   -7.43    0.00    0.00
4S, N, S, 10           1   -7.43   -7.43    0.00    0.00
4S, S, C, 10           9   -7.43   -6.59   -0.43   -0.41

DECLARER, Board 11|15

Contract           Count Overall     Bid    Play
2S, E, C, 8            1    2.30    2.30   -0.00
2SX, E, C, 8           1    9.04    9.04   -0.00
3C, S, H, 9            1    2.17    2.48   -0.30
3C, S, S, 10           1    2.70    2.48    0.22
3C, S, S, 9            4    2.17    2.48   -0.30
3D, N, S, 9            1    2.17   -0.39    2.57
3H, E, D, 7            1   -2.16    0.34   -2.49
3H, W, C, 8            1   -0.83    0.02   -0.85
3NT, N, H, 6           1   -6.18   -5.00   -1.18
3NT, N, S, 6           2   -6.18   -5.00   -1.18
3NT, N, S, 7           1   -4.24   -5.00    0.76
3NT, N, S, 8           1   -2.21   -5.00    2.79
3NT, S, S, 5           1   -7.99   -4.14   -3.85
3NTX, S, S, 8          2   -4.24   -7.71    3.47
3S, E, C, 8           11   -0.83   -0.83   -0.00
3SX, E, C, 8           1   -2.16   -2.16   -0.00
4C, S, S, 9            3   -2.21    0.37   -2.58
4CX, S, H, 10          1   11.64    4.12    7.53
4CX, S, H, 11          1   13.22    4.12    9.11
4CX, S, S, 10          1   11.64    4.12    7.53
4DX, N, D, 7           1  -12.66   -3.65   -9.01
