DECLARER, Board 10|1

Contract           Count Overall     Bid    Play
2CX, W, C, 3           1  -12.00  -12.00    0.00
4S, W, S, 12           1   -1.56   -1.92    0.36
5S, W, D, 12           1   -1.57   -2.18    0.61
6S, E, C, 12           1    9.09    9.09    0.00
6S, E, H, 12           1    9.09    9.09    0.00
6S, W, C, 12           4    9.07    7.72    1.35
6S, W, D, 12           6    9.07    7.72    1.35
6S, W, H, 12           2    9.07    7.72    1.35

DEFENDER, Board 11|11

Contract           Count Overall     Bid    Lead Restdef
3NT, E, H, 12          1    1.34    1.34    0.20   -0.20
3NT, W, D, 10          1    3.11    3.11    0.20   -0.20
4S, E, D, 12           4    1.55    1.55    0.21   -0.21
4S, E, H, 12          21    1.55    1.55    0.21   -0.21
4S, E, S, 12           3    1.55    1.55    0.21   -0.21
4S, S, C, 10           1  -14.03  -14.04   -0.07    0.08
4S, S, C, 11           1  -14.05  -14.04   -0.07    0.06
4S, W, D, 12          12    1.56    1.92   -0.15   -0.20
4S, W, H, 10           1    3.08    1.92    1.64   -0.48
4S, W, H, 12           2    1.56    1.92    1.64   -2.00
4S, W, H, 9            1   10.69    1.92    1.64    7.13
4S, W, S, 12           1    1.56    1.92   -0.15   -0.20
5S, W, D, 12           1    1.57    2.18   -0.42   -0.20
6S, E, C, 12           1   -9.09   -9.09    0.17   -0.17
6S, E, H, 12           1   -9.09   -9.09    0.17   -0.17
6S, W, C, 12           4   -9.07   -7.72   -1.20   -0.15
6S, W, D, 12           6   -9.07   -7.72   -1.20   -0.15
6S, W, H, 12           2   -9.07   -7.72    5.57   -6.93

DECLARER, Board 11|12

Contract           Count Overall     Bid    Play
3NT, E, H, 12          2   -0.92   -0.79   -0.13
3NT, E, S, 11          4   -1.74   -0.79   -0.95
3NT, E, S, 12         24   -0.92   -0.79   -0.13
3NT, E, S, 13          9   -0.01   -0.79    0.78
4NT, E, S, 13          1   -0.01   -0.79    0.78
5C, E, H, 12           1   -2.75   -2.65   -0.10
5C, E, S, 12           1   -2.75   -2.65   -0.10
5C, W, D, 10           1  -10.94   -3.30   -7.63
5C, W, D, 13           1   -2.36   -3.30    0.94
5C, W, H, 11           2   -3.40   -3.30   -0.10
5C, W, H, 12           5   -2.76   -3.30    0.54
5C, W, S, 12           2   -2.76   -3.30    0.54
6C, E, D, 13           1    8.75    8.65    0.09
6C, E, S, 12           1    8.62    8.65   -0.03
6C, W, D, 12           1    8.58    4.92    3.66
6C, W, D, 13           1    8.71    4.92    3.79
6C, W, H, 12           2    8.58    4.92    3.66
6C, W, S, 12           1    8.58    4.92    3.66
6NT, E, S, 12          4    9.59    7.83    1.76

DEFENDER, Board 11|12

Contract           Count Overall     Bid    Lead Restdef
3NT, E, H, 12          2    0.92    0.79    0.53   -0.40
3NT, E, S, 11          4    1.74    0.79    0.38    0.57
3NT, E, S, 12         24    0.92    0.79    0.38   -0.25
3NT, E, S, 13          9    0.01    0.79    0.38   -1.15
4NT, E, S, 13          1    0.01    0.79    0.38   -1.15
5C, E, H, 12           1    2.75    2.65    0.46   -0.36
5C, E, S, 12           1    2.75    2.65    0.46   -0.36
5C, W, D, 10           1   10.94    3.30    1.67    5.97
5C, W, D, 13           1    2.36    3.30    1.67   -2.60
5C, W, H, 11           2    3.40    3.30   -0.05    0.15
5C, W, H, 12           5    2.76    3.30   -0.05   -0.49
5C, W, S, 12           2    2.76    3.30   -0.19   -0.35
6C, E, D, 13           1   -8.75   -8.65    0.19   -0.29
6C, E, S, 12           1   -8.62   -8.65    0.32   -0.29
6C, W, D, 12           1   -8.58   -4.92    1.49   -5.15
6C, W, D, 13           1   -8.71   -4.92    1.49   -5.28
6C, W, H, 12           2   -8.58   -4.92    0.95   -4.62
6C, W, S, 12           1   -8.58   -4.92   -3.42   -0.25
6NT, E, S, 12          4   -9.59   -7.83    0.36   -2.12

DECLARER, Board 11|13

Contract           Count Overall     Bid    Play
2D, S, C, 10           2   -2.81   -3.00    0.20
2H, N, C, 10           1   -2.14   -2.26    0.11
2H, N, H, 10           1   -2.14   -2.26    0.11
2H, N, S, 10           3   -2.14   -2.26    0.11
2NT, E, H, 6           1    1.29    1.29    0.00
2NT, W, H, 6           1    1.29    1.29    0.00
2S, E, D, 7            1    3.85    5.58   -1.73
3C, W, D, 7            1    1.31    2.55   -1.23
3C, W, D, 8            2    3.78    2.55    1.23
3C, W, S, 7            1    1.31    2.55   -1.23
3D, S, C, 9            1   -3.79   -3.00   -0.78
3H, N, C, 10           1   -2.14   -2.26    0.11
3H, N, S, 10           2   -2.14   -2.26    0.11
3H, S, C, 10           2   -2.15   -2.36    0.21
3NT, S, C, 8           3   -7.34   -7.34    0.00
3NT, W, H, 6           1   -0.71   -0.71    0.00
3S, E, D, 8            1    3.78    2.55    1.23
3S, W, C, 7            3    1.32    2.97   -1.65
3S, W, C, 8            5    3.79    2.97    0.82
3S, W, D, 8            1    3.79    2.97    0.82
4D, N, S, 12           1   -2.14   -2.14    0.00
4H, N, C, 9            6   -7.19    4.46  -11.65
4H, N, H, 10           1    6.96    4.46    2.50
4H, N, S, 10          19    6.96    4.46    2.50
4H, S, C, 9            1   -7.22    2.21   -9.43
5D, S, C, 10           2   -7.35   -7.71    0.36

DEFENDER, Board 11|13

Contract           Count Overall     Bid    Lead Restdef
2D, S, C, 10           2    2.81    3.00   -0.47    0.28
2H, N, C, 10           1    2.14    2.26   -0.14    0.02
2H, N, H, 10           1    2.14    2.26   -0.62    0.51
2H, N, S, 10           3    2.14    2.26   -0.62    0.51
2NT, E, H, 6           1   -1.29   -1.29    0.48   -0.48
2NT, W, H, 6           1   -1.29   -1.29    0.48   -0.48
2S, E, D, 7            1   -3.85   -5.58    0.45    1.28
3C, W, D, 7            1   -1.31   -2.55    0.06    1.18
3C, W, D, 8            2   -3.78   -2.55    0.06   -1.29
3C, W, S, 7            1   -1.31   -2.55    1.74   -0.50
3D, S, C, 9            1    3.79    3.00   -0.47    1.25
3H, N, C, 10           1    2.14    2.26   -0.14    0.02
3H, N, S, 10           2    2.14    2.26   -0.62    0.51
3H, S, C, 10           2    2.15    2.36   -0.51    0.30
3NT, S, C, 8           3    7.34    7.34   -0.33    0.33
3NT, W, H, 6           1    0.71    0.71    0.53   -0.53
3S, E, D, 8            1   -3.78   -2.55    0.48   -1.71
3S, W, C, 7            3   -1.32   -2.97    0.58    1.07
3S, W, C, 8            5   -3.79   -2.97    0.58   -1.40
3S, W, D, 8            1   -3.79   -2.97   -0.37   -0.46
4D, N, S, 12           1    2.14    2.14   -0.51    0.51
4H, N, C, 9            6    7.19   -4.46    7.88    3.77
4H, N, H, 10           1   -6.96   -4.46   -2.93    0.44
4H, N, S, 10          19   -6.96   -4.46   -2.93    0.44
4H, S, C, 9            1    7.22   -2.21   -0.38    9.81
5D, S, C, 10           2    7.35    7.71   -0.34   -0.02

DECLARER, Board 11|14

Contract           Count Overall     Bid    Play
1DX, E, S, 9           1    5.56    5.70   -0.13
2DX, E, S, 11          1    8.23    4.56    3.67
2DX, E, S, 9           1    4.42    4.56   -0.14
2S, E, H, 6            1   -4.87   -4.26   -0.61
2S, E, H, 7            1   -3.66   -4.26    0.61
2S, W, H, 7            1   -3.64   -3.64    0.00
3D, E, C, 9            1    0.03    0.00    0.03
3D, E, H, 9            1    0.03    0.00    0.03
3D, E, S, 10           2    0.83    0.00    0.82
3D, E, S, 9           20    0.03    0.00    0.03
3D, W, H, 9            1    0.04    0.44   -0.40
3DX, E, S, 9           1    7.95    7.77    0.18
3H, S, D, 5            1   -2.43    1.09   -3.52
3H, S, D, 8            1    1.40    1.09    0.31
3H, S, S, 8            1    1.40    1.09    0.31
3H, W, S, 5            1   -6.84   -6.84    0.00
3HX, S, D, 6           1   -8.42   -1.57   -6.85
3HX, S, S, 7           1   -4.63   -1.57   -3.06
3NT, E, S, 8           1   -3.64   -3.64    0.00
3NT, W, H, 8           3   -3.58    0.51   -4.09
3NT, W, H, 9           1    6.64    0.51    6.13
3NTX, N, C, 7          2   -4.66   -4.66    0.00
3NTX, W, H, 9          1    9.31    0.84    8.48
4C, E, S, 7            1   -5.87   -5.87    0.00
4D, E, H, 8            1   -4.85   -3.31   -1.54
4D, E, S, 9            7   -3.63   -3.31   -0.32
4D, W, S, 10           1    0.80   -1.40    2.20
4DX, E, S, 9           1   -4.88   -3.88   -0.99
4H, S, D, 7            1   -1.08   -0.75   -0.33
4HX, N, D, 8           1   -4.66   -4.66    0.00
4HX, S, C, 9           2   -0.10   -6.94    6.84
4HX, S, D, 7           1   -8.49   -6.94   -1.55
4HX, S, S, 7           1   -8.49   -6.94   -1.55
5DX, E, S, 9           1   -8.64   -8.05   -0.59

DEFENDER, Board 11|14

Contract           Count Overall     Bid    Lead Restdef
1DX, E, S, 9           1   -5.56   -5.70   -0.01    0.14
2DX, E, S, 11          1   -8.23   -4.56   -0.00   -3.67
2DX, E, S, 9           1   -4.42   -4.56   -0.00    0.14
2S, E, H, 6            1    4.87    4.26    0.14    0.47
2S, E, H, 7            1    3.66    4.26    0.14   -0.75
2S, W, H, 7            1    3.64    3.64    0.15   -0.15
3D, E, C, 9            1   -0.03   -0.00    0.10   -0.12
3D, E, H, 9            1   -0.03   -0.00    1.95   -1.97
3D, E, S, 10           2   -0.83   -0.00    0.02   -0.84
3D, E, S, 9           20   -0.03   -0.00    0.02   -0.05
3D, W, H, 9            1   -0.04   -0.44    0.53   -0.13
3DX, E, S, 9           1   -7.95   -7.77   -0.30    0.12
3H, S, D, 5            1    2.43   -1.09    1.40    2.12
3H, S, D, 8            1   -1.40   -1.09    1.40   -1.72
3H, S, S, 8            1   -1.40   -1.09    0.48   -0.80
3H, W, S, 5            1    6.84    6.84    0.11   -0.11
3HX, S, D, 6           1    8.42    1.57    4.31    2.54
3HX, S, S, 7           1    4.63    1.57    1.45    1.61
3NT, E, S, 8           1    3.64    3.64    0.15   -0.15
3NT, W, H, 8           3    3.58   -0.51    0.11    3.97
3NT, W, H, 9           1   -6.64   -0.51    0.11   -6.24
3NTX, N, C, 7          2    4.66    4.66   -0.07    0.07
3NTX, W, H, 9          1   -9.31   -0.84    0.06   -8.54
4C, E, S, 7            1    5.87    5.87    0.13   -0.13
4D, E, H, 8            1    4.85    3.31    1.09    0.45
4D, E, S, 9            7    3.63    3.31    0.09    0.24
4D, W, S, 10           1   -0.80    1.40   -2.13   -0.07
4DX, E, S, 9           1    4.88    3.88   -0.07    1.06
4H, S, D, 7            1    1.08    0.75    0.77   -0.44
4HX, N, D, 8           1    4.66    4.66   -0.07    0.07
4HX, S, C, 9           2    0.10    6.94   -7.07    0.23
4HX, S, D, 7           1    8.49    6.94    2.54   -0.99
4HX, S, S, 7           1    8.49    6.94    0.26    1.29
5DX, E, S, 9           1    8.64    8.05   -0.01    0.60

DECLARER, Board 11|15

Contract           Count Overall     Bid    Play
3NT, E, D, 10          1   -0.71   -0.71    0.00
3NT, W, C, 9           1   -1.73   -1.73    0.00
4S, E, D, 11           1    0.30   -0.04    0.33
4S, E, H, 10           2   -0.70   -0.04   -0.67
4S, E, H, 11           3    0.30   -0.04    0.33
4S, W, C, 10           1   -0.70    0.05   -0.75
4S, W, C, 11           1    0.30    0.05    0.25
4S, W, D, 10           5   -0.70    0.05   -0.75
4S, W, D, 11           6    0.30    0.05    0.25
4S, W, H, 10           8   -0.70    0.05   -0.75
4S, W, H, 11          34    0.30    0.05    0.25
4S, W, S, 11           1    0.30    0.05    0.25

DEFENDER, Board 11|15

Contract           Count Overall     Bid    Lead Restdef
3NT, E, D, 10          1    0.71    0.71    0.00    0.00
3NT, W, C, 9           1    1.73    1.73    0.00    0.00
4S, E, D, 11           1   -0.30    0.04   -0.34    0.01
4S, E, H, 10           2    0.70    0.04    0.07    0.60
4S, E, H, 11           3   -0.30    0.04    0.07   -0.40
4S, W, C, 10           1    0.70   -0.05    0.25    0.50
4S, W, C, 11           1   -0.30   -0.05    0.25   -0.50
4S, W, D, 10           5    0.70   -0.05    0.21    0.54
4S, W, D, 11           6   -0.30   -0.05    0.21   -0.46
4S, W, H, 10           8    0.70   -0.05   -0.06    0.81
4S, W, H, 11          34   -0.30   -0.05   -0.06   -0.19
4S, W, S, 11           1   -0.30   -0.05   -0.25    0.00

DECLARER, Board 11|16

Contract           Count Overall     Bid    Play
2DX, W, H, 7           1   -4.53   -4.53    0.00
4S, N, C, 10           4    8.67   -0.28    8.95
4S, N, C, 9           41   -1.32   -0.28   -1.04
4S, N, H, 11           1    9.62   -0.28    9.90
4S, N, H, 9            2   -1.32   -0.28   -1.04
4S, S, C, 9           10   -1.30    1.04   -2.34
4S, S, D, 11           2    9.64    1.04    8.59
5S, N, C, 9            1   -3.16   -2.75   -0.41
5S, S, C, 9            1   -3.13   -0.39   -2.74
5S, S, D, 11           1    9.64   -0.39   10.03

DEFENDER, Board 11|16

Contract           Count Overall     Bid    Lead Restdef
2DX, W, H, 7           1    4.53    4.53   -0.02    0.02
4S, N, C, 10           4   -8.67    0.28    0.20   -9.15
4S, N, C, 9           41    1.32    0.28    0.20    0.84
4S, N, H, 11           1   -9.62    0.28   -2.63   -7.27
4S, N, H, 9            2    1.32    0.28   -2.63    3.66
4S, S, C, 9           10    1.30   -1.04    2.41   -0.07
4S, S, D, 11           2   -9.64   -1.04   -8.72    0.12
5S, N, C, 9            1    3.16    2.75    0.28    0.13
5S, S, C, 9            1    3.13    0.39    2.80   -0.06
5S, S, D, 11           1   -9.64    0.39  -10.15    0.12

DECLARER, Board 11|17

Contract           Count Overall     Bid    Play
1NT, N, S, 6           1   -1.47   -0.54   -0.93
1NT, N, S, 7           1    2.24   -0.54    2.78
1NT, S, S, 10          1    4.76    0.20    4.55
1NT, S, S, 6          12   -1.46    0.20   -1.66
1NT, S, S, 7           5    2.25    0.20    2.05
1NT, S, S, 8           2    3.22    0.20    3.02
2NT, N, S, 6           2   -2.95   -2.59   -0.36
2NT, S, S, 6           2   -2.94   -1.74   -1.20
2NT, S, S, 7           2   -1.49   -1.74    0.24
2S, E, C, 8            3    3.00    3.05   -0.04
2S, E, D, 8            3    3.00    3.05   -0.04
2S, W, S, 8            3    3.00    3.00    0.00
3C, N, H, 9            2    2.94    2.94    0.00
3NT, S, S, 6           1   -4.03   -3.00   -1.03
3S, E, C, 8            5   -1.25   -1.02   -0.23
3S, E, D, 8            4   -1.25   -1.02   -0.23
3S, E, D, 9            1    3.88   -1.02    4.90
3S, E, H, 8            5   -1.25   -1.02   -0.23
3S, W, D, 8            2   -1.25   -1.25    0.00
3S, W, S, 8            5   -1.25   -1.25    0.00
4S, E, D, 8            1   -2.67   -2.61   -0.06
4SX, W, S, 8           1   -6.97   -6.97    0.00

DEFENDER, Board 11|17

Contract           Count Overall     Bid    Lead Restdef
1NT, N, S, 6           1    1.47    0.54   -0.04    0.97
1NT, N, S, 7           1   -2.24    0.54   -0.04   -2.74
1NT, S, S, 10          1   -4.76   -0.20   -0.04   -4.52
1NT, S, S, 6          12    1.46   -0.20   -0.04    1.70
1NT, S, S, 7           5   -2.25   -0.20   -0.04   -2.01
1NT, S, S, 8           2   -3.22   -0.20   -0.04   -2.98
2NT, N, S, 6           2    2.95    2.59   -0.04    0.40
2NT, S, S, 6           2    2.94    1.74   -0.04    1.24
2NT, S, S, 7           2    1.49    1.74   -0.04   -0.20
2S, E, C, 8            3   -3.00   -3.05    0.08   -0.04
2S, E, D, 8            3   -3.00   -3.05   -0.03    0.07
2S, W, S, 8            3   -3.00   -3.00    0.04   -0.04
3C, N, H, 9            2   -2.94   -2.94   -0.03    0.03
3NT, S, S, 6           1    4.03    3.00   -0.03    1.07
3S, E, C, 8            5    1.25    1.02    0.27   -0.04
3S, E, D, 8            4    1.25    1.02   -0.31    0.54
3S, E, D, 9            1   -3.88    1.02   -0.31   -4.59
3S, E, H, 8            5    1.25    1.02    0.27   -0.04
3S, W, D, 8            2    1.25    1.25    0.03   -0.03
3S, W, S, 8            5    1.25    1.25    0.03   -0.03
4S, E, D, 8            1    2.67    2.61   -0.06    0.13
4SX, W, S, 8           1    6.97    6.97    0.03   -0.03

DECLARER, Board 11|18

Contract           Count Overall     Bid    Play
1NT, E, D, 10          1    3.45    0.99    2.45
1NT, E, D, 7           5    0.83    0.99   -0.16
2C, W, D, 10           1    1.87    1.92   -0.05
2NT, E, D, 7           1   -2.82   -2.35   -0.47
2S, E, H, 9            1    2.02    1.52    0.50
3C, E, C, 10           1    1.87    1.96   -0.09
3C, E, D, 10           6    1.87    1.96   -0.09
3C, E, D, 11           3    2.49    1.96    0.53
3C, E, S, 10           8    1.87    1.96   -0.09
3C, W, D, 10           9    1.87    1.92   -0.05
3D, N, C, 8            1   -0.86   -0.86    0.00
3H, N, S, 8            1   -0.81    2.15   -2.96
3H, N, S, 9            1    5.12    2.15    2.96
3NT, E, D, 7          13   -4.16   -3.56   -0.60
3NT, E, D, 8           1   -2.84   -3.56    0.72
3NT, E, H, 7           2   -4.16   -3.56   -0.60
3NT, W, D, 7           2   -4.17   -4.17    0.00
3S, E, D, 8            1   -2.78   -0.40   -2.39
4C, E, C, 10           1    1.87    1.96   -0.09
4C, E, D, 10           2    1.87    1.96   -0.09
4C, W, D, 11           1    2.49    1.92    0.57
4D, S, C, 8            1   -3.63   -3.63    0.00
5C, W, D, 10           1   -2.81   -1.91   -0.90

DEFENDER, Board 11|18

Contract           Count Overall     Bid    Lead Restdef
1NT, E, D, 10          1   -3.45   -0.99   -0.18   -2.27
1NT, E, D, 7           5   -0.83   -0.99   -0.18    0.34
2C, W, D, 10           1   -1.87   -1.92   -0.16    0.21
2NT, E, D, 7           1    2.82    2.35   -0.20    0.67
2S, E, H, 9            1   -2.02   -1.52   -0.67    0.17
3C, E, C, 10           1   -1.87   -1.96   -0.07    0.16
3C, E, D, 10           6   -1.87   -1.96   -0.24    0.33
3C, E, D, 11           3   -2.49   -1.96   -0.24   -0.29
3C, E, S, 10           8   -1.87   -1.96   -0.07    0.16
3C, W, D, 10           9   -1.87   -1.92   -0.16    0.21
3D, N, C, 8            1    0.86    0.86    0.17   -0.17
3H, N, S, 8            1    0.81   -2.15    0.14    2.82
3H, N, S, 9            1   -5.12   -2.15    0.14   -3.11
3NT, E, D, 7          13    4.16    3.56   -0.19    0.78
3NT, E, D, 8           1    2.84    3.56   -0.19   -0.53
3NT, E, H, 7           2    4.16    3.56    0.47    0.13
3NT, W, D, 7           2    4.17    4.17   -0.13    0.13
3S, E, D, 8            1    2.78    0.40    2.27    0.12
4C, E, C, 10           1   -1.87   -1.96   -0.07    0.16
4C, E, D, 10           2   -1.87   -1.96   -0.24    0.33
4C, W, D, 11           1   -2.49   -1.92   -0.16   -0.41
4D, S, C, 8            1    3.63    3.63    0.16   -0.16
5C, W, D, 10           1    2.81    1.91   -0.15    1.05

DECLARER, Board 11|19

Contract           Count Overall     Bid    Play
3C, E, S, 10           1   -2.44   -3.17    0.73
3H, N, D, 7            1    3.01    3.20   -0.18
3H, N, H, 7            1    3.01    3.20   -0.18
3H, N, H, 8            1    3.93    3.20    0.74
3H, S, D, 7            3    3.01    3.28   -0.27
3H, S, H, 7            1    3.01    3.28   -0.27
3NT, E, H, 7           1   -7.90   -2.59   -5.32
3NT, E, H, 8           1   -6.40   -2.59   -3.82
3NT, E, H, 9           1    6.55   -2.59    9.14
3NT, W, H, 10          3    7.12    0.18    6.94
