DECLARER, Board 10|1

Contract           Count Overall     Bid    Play
2D, N, S, 7            1   35.92   35.92   50.00
1NT, N, D, 6           3   24.65   28.90   45.75
1NT, S, C, 9           1   80.28   80.28   50.00
1NT, W, H, 3           1    4.23   38.56   15.67
1NT, W, H, 4           1    7.04   38.56   18.49
1NT, W, H, 6           1   54.93   38.56   66.37
1NT, W, H, 7           1   88.03   38.56   99.47
2D, E, S, 8            1   88.03   91.17   46.86
2H, N, C, 8            7   56.34   61.49   44.85
2H, N, C, 9            4   71.83   61.49   60.34
2H, N, D, 8            3   56.34   61.49   44.85
2H, N, S, 8            1   56.34   61.49   44.85
2H, N, S, 9            3   71.83   61.49   60.34
2H, S, S, 9            1   71.83   60.21   61.62
2HX, N, S, 8           1   97.18   98.07   49.11
2NT, N, D, 7           1   24.65   11.44   63.20
3C, W, H, 6            1    7.04   11.27   45.77
3C, W, H, 7            1   13.38   11.27   52.11
3C, W, S, 6            1    7.04   11.27   45.77
3C, W, S, 7            3   13.38   11.27   52.11
3D, E, H, 8            3   54.93   75.24   29.69
3D, E, H, 9            2   98.59   75.24   73.35
3D, W, H, 9            1   98.59   98.59   50.00
3DX, E, C, 7           1    1.41   59.10   -7.69
3DX, E, H, 8           1   13.38   59.10    4.28
3H, N, C, 8            6   24.65   39.81   34.84
3H, N, C, 9            2   71.83   39.81   82.02
3H, N, D, 8            1   24.65   39.81   34.84
3H, N, S, 10           1   81.69   39.81   91.88
3H, N, S, 8            2   24.65   39.81   34.84
3H, N, S, 9            1   71.83   39.81   82.02
3H, S, C, 8            1   24.65   36.44   38.20
3H, S, D, 8            2   24.65   36.44   38.20
3HX, N, C, 8           4    7.04   36.40   20.64
3HX, N, C, 9           1  100.00   36.40  113.60
3HX, N, S, 8           1    7.04   36.40   20.64
3S, E, C, 8            1   54.93   54.93   50.00
4DX, E, H, 9           1   13.38    7.75   55.63
pass                   4   38.73   38.73   50.00

DEFENDER, Board 14|9

Contract           Count Overall     Bid    Lead Restdef
1NT, N, D, 6           3   75.35   71.10   50.00   54.25
1NT, S, C, 9           1   19.72   19.72   50.00   50.00
1NT, W, H, 3           1   95.77   61.44   50.00   84.33
1NT, W, H, 4           1   92.96   61.44   50.00   81.51
1NT, W, H, 6           1   45.07   61.44   50.00   33.63
1NT, W, H, 7           1   11.97   61.44   50.00    0.53
2D, E, S, 8            1   11.97    8.83   53.14   50.00
2H, N, C, 8            7   43.66   38.51   50.63   54.52
2H, N, C, 9            4   28.17   38.51   50.63   39.03
2H, N, D, 8            3   43.66   38.51   55.15   50.00
2H, N, S, 8            1   43.66   38.51   46.42   58.73
2H, N, S, 9            3   28.17   38.51   46.42   43.24
2H, S, S, 9            1   28.17   39.79   38.38   50.00
2HX, N, S, 8           1    2.82    1.93   49.48   51.41
2NT, N, D, 7           1   75.35   88.56   50.00   36.80
3C, W, H, 6            1   92.96   88.73   51.06   53.17
3C, W, H, 7            1   86.62   88.73   51.06   46.83
3C, W, S, 6            1   92.96   88.73   49.47   54.75
3C, W, S, 7            3   86.62   88.73   49.47   48.42
3D, E, H, 8            3   45.07   24.76   42.53   77.78
3D, E, H, 9            2    1.41   24.76   42.53   34.12
3D, W, H, 9            1    1.41    1.41   50.00   50.00
3DX, E, C, 7           1   98.59   40.90  107.69   50.00
3DX, E, H, 8           1   86.62   40.90   40.60  105.12
3H, N, C, 8            6   75.35   60.19   51.40   63.76
3H, N, C, 9            2   28.17   60.19   51.40   16.58
3H, N, D, 8            1   75.35   60.19   65.16   50.00
3H, N, S, 10           1   18.31   60.19   40.58   17.54
3H, N, S, 8            2   75.35   60.19   40.58   74.58
3H, N, S, 9            1   28.17   60.19   40.58   27.39
3H, S, C, 8            1   75.35   63.56   61.80   50.00
3H, S, D, 8            2   75.35   63.56   61.80   50.00
3HX, N, C, 8           4   92.96   63.60   52.24   77.11
3HX, N, C, 9           1    0.00   63.60   52.24  -15.85
3HX, N, S, 8           1   92.96   63.60   32.88   96.48
3S, E, C, 8            1   45.07   45.07   50.00   50.00
4DX, E, H, 9           1   86.62   92.25   48.72   45.65
pass                   4   61.27   61.27   50.00   50.00

DECLARER, Board 15|11

Contract           Count Overall     Bid    Play
4HX, S, C, 9           1   94.37   94.37   50.00
4HX, S, D, 9           1   94.37   94.37   50.00
4NT, W, S, 13          2   58.45   24.21   84.24
5C, W, H, 13           1   30.28   30.28   50.00
5D, E, H, 13           7   30.28   30.28   50.00
5D, E, S, 13          12   30.28   30.28   50.00
5D, W, H, 13           1   30.28   30.28   50.00
5D, W, S, 13           3   30.28   30.28   50.00
5DX, E, H, 13          1   60.56   60.56   50.00
5H, S, D, 9            1   94.37   94.37   50.00
5HX, S, D, 9           4   89.44   89.44   50.00
6D, E, D, 13           1   78.87   78.87   50.00
6D, E, H, 13           4   78.87   78.87   50.00
6D, E, S, 13          10   78.87   78.87   50.00
6D, W, H, 13           5   78.87   78.87   50.00
6D, W, S, 13           1   78.87   78.87   50.00
6DX, E, C, 13          1   95.07   95.07   50.00
6DX, W, S, 13          1   95.07   95.07   50.00
6HX, N, D, 9           2   47.89   61.74   36.15
6HX, S, C, 9           1   47.89   47.89   50.00
6HX, S, D, 9           2   47.89   47.89   50.00
6HX, S, H, 9           1   47.89   47.89   50.00
7C, W, H, 13           1   98.59   98.59   50.00
7D, E, S, 13           2   98.59   98.59   50.00
7HX, N, S, 10          1   47.89   40.85   57.04
7HX, S, D, 9           1   37.32   37.32   50.00
7HX, S, S, 9           1   37.32   37.32   50.00
7NTX, W, H, 8          1    0.00   40.00   10.00
pass                   2   97.89   97.89   50.00

DEFENDER, Board 15|11

Contract           Count Overall     Bid    Lead Restdef
4HX, S, C, 9           1    5.63    5.63   50.00   50.00
4HX, S, D, 9           1    5.63    5.63   50.00   50.00
4NT, W, S, 13          2   41.55   75.79   15.76   50.00
5C, W, H, 13           1   69.72   69.72   50.00   50.00
5D, E, H, 13           7   69.72   69.72   50.00   50.00
5D, E, S, 13          12   69.72   69.72   50.00   50.00
5D, W, H, 13           1   69.72   69.72   50.00   50.00
5D, W, S, 13           3   69.72   69.72   50.00   50.00
5DX, E, H, 13          1   39.44   39.44   50.00   50.00
5H, S, D, 9            1    5.63    5.63   50.00   50.00
5HX, S, D, 9           4   10.56   10.56   50.00   50.00
6D, E, D, 13           1   21.13   21.13   50.00   50.00
6D, E, H, 13           4   21.13   21.13   50.00   50.00
6D, E, S, 13          10   21.13   21.13   50.00   50.00
6D, W, H, 13           5   21.13   21.13   50.00   50.00
6D, W, S, 13           1   21.13   21.13   50.00   50.00
6DX, E, C, 13          1    4.93    4.93   50.00   50.00
6DX, W, S, 13          1    4.93    4.93   50.00   50.00
6HX, N, D, 9           2   52.11   38.26   63.85   50.00
6HX, S, C, 9           1   52.11   52.11   50.00   50.00
6HX, S, D, 9           2   52.11   52.11   50.00   50.00
6HX, S, H, 9           1   52.11   52.11   50.00   50.00
7C, W, H, 13           1    1.41    1.41   50.00   50.00
7D, E, S, 13           2    1.41    1.41   50.00   50.00
7HX, N, S, 10          1   52.11   59.15   42.96   50.00
7HX, S, D, 9           1   62.68   62.68   50.00   50.00
7HX, S, S, 9           1   62.68   62.68   50.00   50.00
7NTX, W, H, 8          1  100.00   60.00   90.00   50.00
pass                   2    2.11    2.11   50.00   50.00

DECLARER, Board 15|12

Contract           Count Overall     Bid    Play
2HX, N, D, 6           4   23.24   27.81   45.43
2HX, N, D, 7           1   64.08   27.81   86.27
2HX, N, H, 3           1    1.41   27.81   23.60
2HX, N, H, 6           1   23.24   27.81   45.43
3CX, N, C, 7           1   23.24   23.24   50.00
3HX, N, D, 6           2    4.93   10.39   44.54
3HX, N, D, 8           1   64.08   10.39  103.70
3HX, N, H, 4           2    1.41   10.39   41.02
3NT, E, C, 10          1   50.70   52.35   48.36
3NT, E, C, 9           1   38.73   52.35   36.38
3NT, W, C, 10          3   50.70   57.28   43.43
3NT, W, C, 11          5   67.61   57.28   60.33
3NT, W, C, 8           1   28.87   57.28   21.60
3NT, W, C, 9           1   38.73   57.28   31.46
3NT, W, H, 11          2   67.61   57.28   60.33
3NT, W, S, 10          1   50.70   57.28   43.43
3NTX, E, D, 11         1   91.55   86.01   55.54
3NTX, W, C, 10         1   85.92   84.52   51.39
3NTX, W, C, 11         1   91.55   84.52   57.03
3NTX, W, H, 10         1   85.92   84.52   51.39
3NTX, W, S, 10         1   85.92   84.52   51.39
3NTX, W, S, 11         1   91.55   84.52   57.03
4H, S, C, 12           1   98.59   98.59   50.00
4S, E, C, 10           1   43.66   37.25   56.42
4S, E, C, 8            1   15.49   37.25   28.25
4S, E, C, 9            3   28.87   37.25   41.63
4S, E, H, 10           1   43.66   37.25   56.42
4S, N, H, 11           1   97.18   97.18   50.00
4S, W, C, 10           2   43.66   28.66   65.01
4S, W, C, 11           4   58.45   28.66   79.79
4S, W, C, 8            8   15.49   28.66   36.84
4S, W, H, 10           1   43.66   28.66   65.01
4S, W, H, 11           2   58.45   28.66   79.79
4S, W, H, 8            6   15.49   28.66   36.84
4SX, E, D, 11          1   88.73   52.11   86.62
4SX, E, H, 10          2   82.39   52.11   80.28
5DX, W, H, 9           1    4.23    4.23   50.00
6SX, W, H, 8           1    0.00    4.06   45.94
pass                   2   66.90   66.90   50.00

DEFENDER, Board 15|12

Contract           Count Overall     Bid    Lead Restdef
2HX, N, D, 6           4   76.76   72.19   40.22   64.35
2HX, N, D, 7           1   35.92   72.19   40.22   23.51
2HX, N, H, 3           1   98.59   72.19   69.57   56.84
2HX, N, H, 6           1   76.76   72.19   69.57   35.01
3CX, N, C, 7           1   76.76   76.76   50.00   50.00
3HX, N, D, 6           2   95.07   89.61   45.77   59.68
3HX, N, D, 8           1   35.92   89.61   45.77    0.53
3HX, N, H, 4           2   98.59   89.61   58.45   50.53
3NT, E, C, 10          1   49.30   47.65   57.63   44.01
3NT, E, C, 9           1   61.27   47.65   57.63   55.99
3NT, W, C, 10          3   49.30   42.72   50.94   55.63
3NT, W, C, 11          5   32.39   42.72   50.94   38.73
3NT, W, C, 8           1   71.13   42.72   50.94   77.46
3NT, W, C, 9           1   61.27   42.72   50.94   67.61
3NT, W, H, 11          2   32.39   42.72   45.31   44.37
3NT, W, S, 10          1   49.30   42.72   50.94   55.63
3NTX, E, D, 11         1    8.45   13.99   44.46   50.00
3NTX, W, C, 10         1   14.08   15.48   52.11   46.50
3NTX, W, C, 11         1    8.45   15.48   52.11   40.87
3NTX, W, H, 10         1   14.08   15.48   44.85   53.76
3NTX, W, S, 10         1   14.08   15.48   46.73   51.88
3NTX, W, S, 11         1    8.45   15.48   46.73   46.24
4H, S, C, 12           1    1.41    1.41   50.00   50.00
4S, E, C, 10           1   56.34   62.75   58.09   35.49
4S, E, C, 8            1   84.51   62.75   58.09   63.66
4S, E, C, 9            3   71.13   62.75   58.09   50.28
4S, E, H, 10           1   56.34   62.75   43.58   50.00
4S, N, H, 11           1    2.82    2.82   50.00   50.00
4S, W, C, 10           2   56.34   71.34   46.87   38.13
4S, W, C, 11           4   41.55   71.34   46.87   23.34
4S, W, C, 8            8   84.51   71.34   46.87   66.30
4S, W, H, 10           1   56.34   71.34   53.66   31.34
4S, W, H, 11           2   41.55   71.34   53.66   16.55
4S, W, H, 8            6   84.51   71.34   53.66   59.51
4SX, E, D, 11          1   11.27   47.89   13.38   50.00
4SX, E, H, 10          2   17.61   47.89   19.72   50.00
5DX, W, H, 9           1   95.77   95.77   50.00   50.00
6SX, W, H, 8           1  100.00   95.94   51.13   52.93
pass                   2   33.10   33.10   50.00   50.00

DECLARER, Board 16|13

Contract           Count Overall     Bid    Play
2C, S, H, 8            1    8.45    8.45   50.00
3H, S, D, 12           1    9.86   10.28   49.58
3NT, N, C, 11          3   13.38   13.38   50.00
3NT, S, H, 13          1   26.76   20.07   56.69
4H, N, C, 12           2   19.72   20.95   48.77
4H, N, H, 13           1   24.65   20.95   53.70
4H, S, C, 12           2   19.72   21.36   48.36
4H, S, H, 13           1   24.65   21.36   53.29
4NT, N, C, 11          1   13.38   13.38   50.00
5H, S, C, 12           1   19.72   21.36   48.36
6D, N, C, 12          35   57.04   57.04   50.00
6D, N, D, 12           1   57.04   57.04   50.00
6D, N, H, 12           1   57.04   57.04   50.00
6D, S, C, 12           5   57.04   62.09   44.95
6D, S, H, 13           1   87.32   62.09   75.23
6DX, N, C, 12          1  100.00  100.00   50.00
6H, N, C, 12           1   91.55   92.96   48.59
6H, S, C, 12           4   91.55   93.43   48.12
6H, S, H, 13           3   97.18   93.43   53.76
6NTX, N, C, 11         1    1.41    1.41   50.00
6NTX, S, C, 11         1    1.41   50.70    0.70
7D, N, C, 12           1    4.23    4.23   50.00
7DX, N, C, 12          1    1.41    1.41   50.00
pass                   2    6.34    6.34   50.00

DEFENDER, Board 16|13

Contract           Count Overall     Bid    Lead Restdef
2C, S, H, 8            1   91.55   91.55   50.00   50.00
3H, S, D, 12           1   90.14   89.72   50.42   50.00
3NT, N, C, 11          3   86.62   86.62   50.00   50.00
3NT, S, H, 13          1   73.24   79.93   43.31   50.00
4H, N, C, 12           2   80.28   79.05   51.23   50.00
4H, N, H, 13           1   75.35   79.05   46.30   50.00
4H, S, C, 12           2   80.28   78.64   51.64   50.00
4H, S, H, 13           1   75.35   78.64   46.71   50.00
4NT, N, C, 11          1   86.62   86.62   50.00   50.00
5H, S, C, 12           1   80.28   78.64   51.64   50.00
6D, N, C, 12          35   42.96   42.96   50.00   50.00
6D, N, D, 12           1   42.96   42.96   50.00   50.00
6D, N, H, 12           1   42.96   42.96   50.00   50.00
6D, S, C, 12           5   42.96   37.91   55.05   50.00
6D, S, H, 13           1   12.68   37.91   24.77   50.00
6DX, N, C, 12          1    0.00    0.00   50.00   50.00
6H, N, C, 12           1    8.45    7.04   51.41   50.00
6H, S, C, 12           4    8.45    6.57   51.88   50.00
6H, S, H, 13           3    2.82    6.57   46.24   50.00
6NTX, N, C, 11         1   98.59   98.59   50.00   50.00
6NTX, S, C, 11         1   98.59   49.30   99.30   50.00
7D, N, C, 12           1   95.77   95.77   50.00   50.00
7DX, N, C, 12          1   98.59   98.59   50.00   50.00
pass                   2   93.66   93.66   50.00   50.00

DECLARER, Board 16|14

Contract           Count Overall     Bid    Play
2NT, N, S, 10          1    5.63    6.99   48.65
2NT, N, S, 12          1    7.04    6.99   50.05
3NT, N, C, 12          1   41.55   40.49   51.06
3NT, N, D, 12          4   41.55   40.49   51.06
3NT, N, H, 12          1   41.55   40.49   51.06
3NT, N, S, 12         12   41.55   40.49   51.06
3NT, S, D, 12          1   41.55   43.00   48.55
3NT, S, H, 12          1   41.55   43.00   48.55
3NT, S, S, 12         10   41.55   43.00   48.55
4D, S, S, 12           2    3.52    3.52   50.00
4H, N, D, 12           1   14.79   14.79   50.00
4NT, N, D, 12          1   41.55   40.49   51.06
4NT, N, H, 12          1   41.55   40.49   51.06
4NT, N, S, 12          2   41.55   40.49   51.06
4NT, S, S, 12          2   41.55   43.00   48.55
4NT, S, S, 13          1   67.61   43.00   74.61
5D, N, S, 12           2   10.56   10.56   50.00
5D, S, S, 12           2   10.56   10.56   50.00
5H, N, S, 12           1   14.79   14.79   50.00
6D, N, C, 12           1   79.58   79.58   50.00
6D, N, D, 12           3   79.58   79.58   50.00
6D, N, H, 12           8   79.58   79.58   50.00
6D, S, C, 12           1   79.58   79.58   50.00
6D, S, S, 12           3   79.58   79.58   50.00
6H, N, D, 12           1   93.66   93.66   50.00
6H, N, S, 12           3   93.66   93.66   50.00
6NT, N, S, 12          2   98.59   94.80   53.79
6NT, S, S, 12          1   98.59   98.67   49.92
pass                   2    0.70    0.70   50.00

DEFENDER, Board 16|14

Contract           Count Overall     Bid    Lead Restdef
2NT, N, S, 10          1   94.37   93.01   50.02   51.33
2NT, N, S, 12          1   92.96   93.01   50.02   49.92
3NT, N, C, 12          1   58.45   59.51   48.94   50.00
3NT, N, D, 12          4   58.45   59.51   48.94   50.00
3NT, N, H, 12          1   58.45   59.51   48.94   50.00
3NT, N, S, 12         12   58.45   59.51   50.47   48.46
3NT, S, D, 12          1   58.45   57.00   51.45   50.00
3NT, S, H, 12          1   58.45   57.00   51.45   50.00
3NT, S, S, 12         10   58.45   57.00   49.82   51.63
4D, S, S, 12           2   96.48   96.48   50.00   50.00
4H, N, D, 12           1   85.21   85.21   50.00   50.00
4NT, N, D, 12          1   58.45   59.51   48.94   50.00
4NT, N, H, 12          1   58.45   59.51   48.94   50.00
4NT, N, S, 12          2   58.45   59.51   50.47   48.46
4NT, S, S, 12          2   58.45   57.00   49.82   51.63
4NT, S, S, 13          1   32.39   57.00   49.82   25.57
5D, N, S, 12           2   89.44   89.44   50.00   50.00
5D, S, S, 12           2   89.44   89.44   50.00   50.00
