DECLARER, Board 10|3

Contract           Count Overall     Bid    Play
1DX, E, H, 5           1    5.38   36.92   18.46
3NT, S, S, 11          2   66.92   65.03   51.89
4S, N, D, 11           1   33.08   33.08   50.00
4S, S, C, 10           1    3.08   40.92   12.15
4S, S, C, 11           5   33.08   40.92   42.15
4S, S, C, 12           3   83.85   40.92   92.92
4S, S, D, 11           5   33.08   40.92   42.15
4S, S, D, 12           3   83.85   40.92   92.92
4S, S, H, 11           7   33.08   40.92   42.15
4S, S, S, 11          10   33.08   40.92   42.15
7SX, S, H, 11          1    0.00    0.26   49.74

DEFENDER, Board 5|10

Contract           Count Overall     Bid    Lead Restdef
3NT, N, D, 12          1    5.38   55.77   -0.38   50.00
3NT, N, H, 10          2   92.31   55.77   66.79   69.74
3NT, N, H, 11          1   33.08   55.77   66.79   10.51
3NT, S, C, 10          3   92.31   34.97   82.83   74.51
3NT, S, C, 11          3   33.08   34.97   82.83   15.27
3NT, S, C, 9           1   98.46   34.97   82.83   80.66
3NT, S, D, 11          9   33.08   34.97   35.99   62.12
3NT, S, D, 12          7    5.38   34.97   35.99   34.42
3NT, S, H, 11          1   33.08   34.97   48.11   50.00
3NT, S, S, 11          2   33.08   34.97   48.11   50.00
4S, N, D, 11           1   66.92   66.92   50.00   50.00
4S, S, C, 10           1   96.92   59.08   44.26   93.59
4S, S, C, 11           5   66.92   59.08   44.26   63.59
4S, S, C, 12           3   16.15   59.08   44.26   12.82
4S, S, D, 11           5   66.92   59.08   38.81   69.04
4S, S, D, 12           3   16.15   59.08   38.81   18.27
4S, S, H, 11           7   66.92   59.08   57.85   50.00
4S, S, S, 11          10   66.92   59.08   57.85   50.00
7SX, S, H, 11          1  100.00   99.74   50.26   50.00

DECLARER, Board 5|9

Contract           Count Overall     Bid    Play
4H, N, S, 11           7   51.54   54.97   46.57
4H, S, D, 11           5   51.54   57.46   44.08
4H, S, D, 12           2   70.77   57.46   63.31
4H, S, S, 11           1   51.54   57.46   44.08
4H, S, S, 12           1   70.77   57.46   63.31
4HX, N, C, 12          1  100.00   97.47   52.53
4HX, N, S, 11          1   96.92   97.47   49.45
4S, W, H, 9            1   98.46   98.46   50.00
4SX, E, C, 9           1   80.00   80.00   50.00
4SX, W, H, 9          21   80.00   80.00   50.00
5H, N, C, 12           2   70.77   54.97   65.80
5H, N, S, 11           3   51.54   54.97   46.57
5H, N, S, 12           1   70.77   54.97   65.80
5H, S, D, 11           2   51.54   57.46   44.08
5H, S, D, 12           1   70.77   57.46   63.31
5HX, N, D, 11          1   86.15   88.35   47.80
5HX, N, H, 12          1   98.46   88.35   60.11
5HX, N, S, 11         11   86.15   88.35   47.80
5HX, S, D, 11          1   86.15   89.94   46.21
5S, W, H, 9            1   80.00   80.00   50.00
6NT, S, D, 8           1    0.00    0.00   50.00

DEFENDER, Board 5|9

Contract           Count Overall     Bid    Lead Restdef
4H, N, S, 11           7   48.46   45.03   52.56   50.87
4H, S, D, 11           5   48.46   42.54   50.67   55.24
4H, S, D, 12           2   29.23   42.54   50.67   36.01
4H, S, S, 11           1   48.46   42.54   46.30   59.62
4H, S, S, 12           1   29.23   42.54   46.30   40.38
4HX, N, C, 12          1    0.00    2.53   47.47   50.00
4HX, N, S, 11          1    3.08    2.53   50.41   50.14
4S, W, H, 9            1    1.54    1.54   50.00   50.00
4SX, E, C, 9           1   20.00   20.00   50.00   50.00
4SX, W, H, 9          21   20.00   20.00   50.00   50.00
5H, N, C, 12           2   29.23   45.03   34.20   50.00
5H, N, S, 11           3   48.46   45.03   52.56   50.87
5H, N, S, 12           1   29.23   45.03   52.56   31.64
5H, S, D, 11           2   48.46   42.54   50.67   55.24
5H, S, D, 12           1   29.23   42.54   50.67   36.01
5HX, N, D, 11          1   13.85   11.65   52.20   50.00
5HX, N, H, 12          1    1.54   11.65   39.89   50.00
5HX, N, S, 11         11   13.85   11.65   51.49   50.71
5HX, S, D, 11          1   13.85   10.06   50.43   53.36
5S, W, H, 9            1   20.00   20.00   50.00   50.00
6NT, S, D, 8           1  100.00  100.00   50.00   50.00

DECLARER, Board 6|11

Contract           Count Overall     Bid    Play
2NT, N, H, 6           2   16.15   28.04   38.11
2NT, N, H, 7           3   26.92   28.04   48.88
2NT, N, H, 8           2   42.31   28.04   64.27
2NT, N, S, 10          1   73.85   28.04   95.81
3H, W, C, 8            3   66.15   66.15   50.00
3HX, E, C, 8           1   61.54   61.54   50.00
3HX, W, C, 8           2   61.54   61.54   50.00
3NT, N, H, 3           1    1.54   18.50   33.04
3NT, N, H, 6           5    6.15   18.50   37.66
3NT, N, H, 7           4   16.15   18.50   47.66
3NT, N, H, 8           3   26.92   18.50   58.43
3NT, N, S, 7           1   16.15   18.50   47.66
3S, N, H, 10           6   60.00   54.04   55.96
3S, N, H, 9            1   45.38   54.04   41.35
3S, S, C, 10           1   60.00   59.46   50.54
3S, S, D, 10           7   60.00   59.46   50.54
3S, S, D, 9            1   45.38   59.46   35.93
3S, S, H, 10           3   60.00   59.46   50.54
4HX, W, C, 8           2   23.85   23.85   50.00
4S, N, H, 8            1   16.15   71.73   -5.58
4S, S, D, 10          14   88.46   86.18   52.28
4SX, S, D, 10          1  100.00   96.89   53.11
5DX, N, H, 7           1    0.00    0.00   50.00

DEFENDER, Board 6|11

Contract           Count Overall     Bid    Lead Restdef
2NT, N, H, 6           2   83.85   71.96   52.23   59.65
2NT, N, H, 7           3   73.08   71.96   52.23   48.88
2NT, N, H, 8           2   57.69   71.96   52.23   33.50
2NT, N, S, 10          1   26.15   71.96   27.66   26.54
3H, W, C, 8            3   33.85   33.85   50.00   50.00
3HX, E, C, 8           1   38.46   38.46   50.00   50.00
3HX, W, C, 8           2   38.46   38.46   50.00   50.00
3NT, N, H, 3           1   98.46   81.50   53.88   63.08
3NT, N, H, 6           5   93.85   81.50   53.88   58.46
3NT, N, H, 7           4   83.85   81.50   53.88   48.46
3NT, N, H, 8           3   73.08   81.50   53.88   37.69
3NT, N, S, 7           1   83.85   81.50   11.18   91.17
3S, N, H, 10           6   40.00   45.96   50.00   44.04
3S, N, H, 9            1   54.62   45.96   50.00   58.65
3S, S, C, 10           1   40.00   40.54   49.46   50.00
3S, S, D, 10           7   40.00   40.54   50.09   49.36
3S, S, D, 9            1   54.62   40.54   50.09   63.98
3S, S, H, 10           3   40.00   40.54   49.46   50.00
4HX, W, C, 8           2   76.15   76.15   50.00   50.00
4S, N, H, 8            1   83.85   28.27   50.00  105.58
4S, S, D, 10          14   11.54   13.82   50.40   47.32
4SX, S, D, 10          1    0.00    3.11   50.54   46.35
5DX, N, H, 7           1  100.00  100.00   50.00   50.00

DECLARER, Board 6|12

Contract           Count Overall     Bid    Play
4H, W, H, 12           1   90.77   90.77   50.00
4S, E, C, 10           2   40.77   68.00   22.77
4S, E, C, 11           1   76.92   68.00   58.92
4S, E, D, 12           2   90.77   68.00   72.77
4S, N, C, 10           1  100.00  100.00   50.00
4S, W, C, 10          39   40.77   50.52   40.25
4S, W, C, 11           1   76.92   50.52   76.40
4S, W, C, 9            2    6.15   50.52    5.63
4S, W, D, 11           1   76.92   50.52   76.40
4S, W, D, 12           6   90.77   50.52   90.25
4S, W, H, 10           1   40.77   50.52   40.25
4S, W, H, 12           2   90.77   50.52   90.25
4S, W, S, 11           1   76.92   50.52   76.40
4S, W, S, 12           1   90.77   50.52   90.25
5S, W, C, 10           1    6.15   25.16   30.99
5S, W, D, 12           1   90.77   25.16  115.61
5S, W, S, 11           1   76.92   25.16  101.76
5SX, W, C, 10          1    2.31   25.46   26.85
6S, W, C, 10           1    2.31   19.10   33.21

DEFENDER, Board 6|12

Contract           Count Overall     Bid    Lead Restdef
4H, W, H, 12           1    9.23    9.23   50.00   50.00
4S, E, C, 10           2   59.23   32.00   65.18   62.05
4S, E, C, 11           1   23.08   32.00   65.18   25.90
4S, E, D, 12           2    9.23   32.00   27.23   50.00
4S, N, C, 10           1    0.00    0.00   50.00   50.00
4S, W, C, 10          39   59.23   49.48   60.49   49.26
4S, W, C, 11           1   23.08   49.48   60.49   13.11
4S, W, C, 9            2   93.85   49.48   60.49   83.88
4S, W, D, 11           1   23.08   49.48   11.48   62.12
4S, W, D, 12           6    9.23   49.48   11.48   48.27
4S, W, H, 10           1   59.23   49.48   26.42   83.33
4S, W, H, 12           2    9.23   49.48   26.42   33.33
4S, W, S, 11           1   23.08   49.48   18.98   54.62
4S, W, S, 12           1    9.23   49.48   18.98   40.77
5S, W, C, 10           1   93.85   74.84   67.61   51.40
5S, W, D, 12           1    9.23   74.84  -13.88   48.27
5S, W, S, 11           1   23.08   74.84   -6.38   54.62
5SX, W, C, 10          1   97.69   74.54   71.02   52.14
6S, W, C, 10           1   97.69   80.90   66.74   50.05

DECLARER, Board 7|13

Contract           Count Overall     Bid    Play
1NT, N, S, 6           1   91.54   91.54   50.00
2NT, S, H, 4           1   14.62   31.92   32.69
2NT, S, S, 6           1   50.00   31.92   68.08
2NT, S, S, 7           1   91.54   31.92  109.62
2S, E, C, 8            3   17.69   17.16   50.53
2S, E, D, 7            1    3.85   17.16   36.69
2S, E, D, 8            4   17.69   17.16   50.53
2S, E, D, 9            1   24.62   17.16   57.46
2S, E, H, 8            1   17.69   17.16   50.53
2S, N, D, 8            1   99.23   99.23   50.00
2SX, E, D, 8           2   96.15   88.82   57.33
3D, N, C, 6            1   23.08   53.10   19.98
3D, N, C, 7           10   50.00   53.10   46.90
3D, N, D, 7            2   50.00   53.10   46.90
3D, N, D, 9            1   99.23   53.10   96.13
3D, N, H, 7            1   50.00   53.10   46.90
3D, N, S, 7           17   50.00   53.10   46.90
3D, N, S, 8            2   91.54   53.10   88.44
3D, S, S, 7            1   50.00   50.00   50.00
3H, S, S, 4            1    6.92    6.92   50.00
3NT, S, C, 5           1   14.62   17.31   47.31
3NT, S, H, 5           1   14.62   17.31   47.31
3NT, S, S, 4           1    6.92   17.31   39.62
3NT, S, S, 5           5   14.62   17.31   47.31
3NT, S, S, 6           2   23.08   17.31   55.77
3NTX, S, S, 4          1    0.00    1.91   48.09
3S, E, D, 8            1    3.85    5.15   48.70
4CX, N, S, 6           1    1.54    1.54   50.00

DEFENDER, Board 7|13

Contract           Count Overall     Bid    Lead Restdef
1NT, N, S, 6           1    8.46    8.46   50.00   50.00
2NT, S, H, 4           1   85.38   68.08   63.08   54.23
2NT, S, S, 6           1   50.00   68.08   46.82   35.10
2NT, S, S, 7           1    8.46   68.08   46.82   -6.43
2S, E, C, 8            3   82.31   82.84   49.47   50.00
2S, E, D, 7            1   96.15   82.84   50.24   63.08
2S, E, D, 8            4   82.31   82.84   50.24   49.23
2S, E, D, 9            1   75.38   82.84   50.24   42.31
2S, E, H, 8            1   82.31   82.84   49.47   50.00
2S, N, D, 8            1    0.77    0.77   50.00   50.00
2SX, E, D, 8           2    3.85   11.18   53.26   39.41
3D, N, C, 6            1   76.92   46.90   55.55   74.48
3D, N, C, 7           10   50.00   46.90   55.55   47.55
3D, N, D, 7            2   50.00   46.90   36.69   66.41
3D, N, D, 9            1    0.77   46.90   36.69   17.18
3D, N, H, 7            1   50.00   46.90   53.10   50.00
3D, N, S, 7           17   50.00   46.90   48.73   54.37
3D, N, S, 8            2    8.46   46.90   48.73   12.83
3D, S, S, 7            1   50.00   50.00   50.00   50.00
3H, S, S, 4            1   93.08   93.08   50.00   50.00
3NT, S, C, 5           1   85.38   82.69   52.69   50.00
3NT, S, H, 5           1   85.38   82.69   56.54   46.15
3NT, S, S, 4           1   93.08   82.69   48.57   61.82
3NT, S, S, 5           5   85.38   82.69   48.57   54.13
3NT, S, S, 6           2   76.92   82.69   48.57   45.66
3NTX, S, S, 4          1  100.00   98.09   49.76   52.16
3S, E, D, 8            1   96.15   94.85   49.42   51.88
4CX, N, S, 6           1   98.46   98.46   50.00   50.00

DECLARER, Board 7|14

Contract           Count Overall     Bid    Play
3NT, N, C, 11          1   92.31   70.58   71.73
3NT, N, C, 12          1  100.00   70.58   79.42
3NT, N, D, 10          1   50.77   70.58   30.19
3NT, N, D, 11          1   92.31   70.58   71.73
3NT, N, S, 11          1   92.31   70.58   71.73
4H, N, C, 12           1   96.92   71.66   75.26
4H, N, D, 12           1   96.92   71.66   75.26
4H, N, S, 11          10   70.77   71.66   49.11
4S, N, C, 10           1   40.00   55.38   34.62
4S, N, C, 11           2   70.77   55.38   65.38
4S, N, D, 10           2   40.00   55.38   34.62
4S, N, D, 11           1   70.77   55.38   65.38
4S, N, S, 11           1   70.77   55.38   65.38
4S, S, C, 10           1   40.00   53.54   36.46
4S, S, C, 11           1   70.77   53.54   67.23
4S, S, D, 10           8   40.00   53.54   36.46
4S, S, D, 11           1   70.77   53.54   67.23
4S, S, H, 10           1   40.00   53.54   36.46
4S, S, H, 11           3   70.77   53.54   67.23
4S, S, S, 11           5   70.77   53.54   67.23
5H, N, D, 12           1   96.92   69.96   76.96
5H, N, S, 11           1   70.77   69.96   50.81
5S, S, D, 10           2   23.85   44.49   29.35
6H, N, C, 11           1   23.85   34.57   39.27
6H, N, S, 10           2   11.54   34.57   26.96
6H, N, S, 11           2   23.85   34.57   39.27
6H, S, H, 10           1   11.54   11.54   50.00
6NT, N, C, 11          2   23.85   23.18   50.67
6NT, N, H, 10          1   11.54   23.18   38.36
6NT, N, S, 10          1   11.54   23.18   38.36
6NT, N, S, 11          1   23.85   23.18   50.67
6NTX, N, H, 9          1    0.77   14.32   36.45
6NTX, N, S, 10         1    3.85   14.32   39.53
6NTX, N, S, 9          1    0.77   14.32   36.45
6S, N, D, 10           1   11.54   17.69   43.85
6S, S, C, 10           1   11.54   16.95   44.58
6S, S, D, 10           1   11.54   16.95   44.58
7SX, S, S, 11          1    3.85    2.12   51.72

DEFENDER, Board 7|14

Contract           Count Overall     Bid    Lead Restdef
3NT, N, C, 11          1    7.69   29.42   26.35   51.92
3NT, N, C, 12          1    0.00   29.42   26.35   44.23
3NT, N, D, 10          1   49.23   29.42   49.04   70.77
3NT, N, D, 11          1    7.69   29.42   49.04   29.23
3NT, N, S, 11          1    7.69   29.42   57.29   20.98
4H, N, C, 12           1    3.08   28.34   37.81   36.92
4H, N, D, 12           1    3.08   28.34   24.74   50.00
4H, N, S, 11          10   29.23   28.34   54.99   45.90
4S, N, C, 10           1   60.00   44.62   44.87   70.51
4S, N, C, 11           2   29.23   44.62   44.87   39.74
4S, N, D, 10           2   60.00   44.62   57.69   57.69
4S, N, D, 11           1   29.23   44.62   57.69   26.92
4S, N, S, 11           1   29.23   44.62   34.62   50.00
4S, S, C, 10           1   60.00   46.46   53.28   60.26
4S, S, C, 11           1   29.23   46.46   53.28   29.49
4S, S, D, 10           8   60.00   46.46   60.97   52.56
4S, S, D, 11           1   29.23   46.46   60.97   21.79
4S, S, H, 10           1   60.00   46.46   40.46   73.08
4S, S, H, 11           3   29.23   46.46   40.46   42.31
4S, S, S, 11           5   29.23   46.46   32.77   50.00
5H, N, D, 12           1    3.08   30.04   23.04   50.00
5H, N, S, 11           1   29.23   30.04   55.45   43.74
5S, S, D, 10           2   76.15   55.51   66.74   53.91
6H, N, C, 11           1   76.15   65.43   22.65   88.08
6H, N, S, 10           2   88.46   65.43   62.37   60.67
6H, N, S, 11           2   76.15   65.43   62.37   48.36
6H, S, H, 10           1   88.46   88.46   50.00   50.00
6NT, N, C, 11          2   76.15   76.82   30.30   69.04
6NT, N, H, 10          1   88.46   76.82   64.38   47.26
6NT, N, S, 10          1   88.46   76.82   57.81   53.83
6NT, N, S, 11          1   76.15   76.82   57.81   41.52
6NTX, N, H, 9          1   99.23   85.68   62.01   51.54
6NTX, N, S, 10         1   96.15   85.68   58.01   52.46
6NTX, N, S, 9          1   99.23   85.68   58.01   55.54
6S, N, D, 10           1   88.46   82.31   53.08   53.08
6S, S, C, 10           1   88.46   83.05   51.31   54.10
6S, S, D, 10           1   88.46   83.05   54.39   51.03
7SX, S, S, 11          1   96.15   97.88   48.28   50.00

DECLARER, Board 8|15

Contract           Count Overall     Bid    Play
1NT, W, D, 5           1   89.23   90.77   48.46
1NT, W, D, 6           1   92.31   90.77   51.54
2H, W, S, 7            1   92.31   92.31   50.00
2S, N, C, 10           1   46.15   44.55   51.60
2S, N, C, 11           1   73.08   44.55   78.52
2S, N, D, 11           1   73.08   44.55   78.52
2S, N, S, 10           3   46.15   44.55   51.60
2S, N, S, 11           1   73.08   44.55   78.52
2S, N, S, 9            1   17.69   44.55   23.14
2S, S, C, 10           3   46.15   47.74   48.41
2S, S, C, 9            1   17.69   47.74   19.95
3C, W, S, 8            1   92.31   92.31   50.00
3S, N, C, 10           3   46.15   44.23   51.92
3S, N, C, 11           2   73.08   44.23   78.85
3S, N, C, 9            1   17.69   44.23   23.46
3S, N, H, 11           1   73.08   44.23   78.85
3S, N, H, 9            1   17.69   44.23   23.46
3S, N, S, 9            3   17.69   44.23   23.46
3S, S, C, 10           6   46.15   47.74   48.41
3S, S, C, 11           1   73.08   47.74   75.33
3S, S, D, 10           1   46.15   47.74   48.41
3S, S, H, 10           6   46.15   47.74   48.41
3S, S, H, 11           5   73.08   47.74   75.33
3S, S, H, 9            1   17.69   47.74   19.95
3SX, S, C, 10          1   99.23   98.68   50.55
3SX, S, H, 10          1   99.23   98.68   50.55
4H, E, H, 7            1   73.85   73.85   50.00
4H, W, C, 7            1   73.85   73.85   50.00
4H, W, S, 7            1   73.85   73.85   50.00
4HX, W, S, 7           1   16.92   16.92   50.00
4S, N, C, 10           1   88.46   65.36   73.11
4S, N, C, 9            1    3.08   65.36  -12.28
4S, N, H, 10           1   88.46   65.36   73.11
4S, N, H, 11           1   93.85   65.36   78.49
4S, N, S, 10           2   88.46   65.36   73.11
4S, S, C, 9            1    3.08   78.15  -25.08
4S, S, H, 10           2   88.46   78.15   60.31
4S, S, H, 9            1    3.08   78.15  -25.08
4SX, N, C, 10          2   96.15   70.02   76.13
4SX, N, C, 8           1    0.00   70.02  -20.02

DEFENDER, Board 8|15

Contract           Count Overall     Bid    Lead Restdef
1NT, W, D, 5           1   10.77    9.23   50.00   51.54
1NT, W, D, 6           1    7.69    9.23   50.00   48.46
2H, W, S, 7            1    7.69    7.69   50.00   50.00
2S, N, C, 10           1   53.85   55.45   49.18   49.22
2S, N, C, 11           1   26.92   55.45   49.18   22.29
2S, N, D, 11           1   26.92   55.45   21.48   50.00
2S, N, S, 10           3   53.85   55.45   57.09   41.31
2S, N, S, 11           1   26.92   55.45   57.09   14.38
2S, N, S, 9            1   82.31   55.45   57.09   69.77
2S, S, C, 10           3   53.85   52.26   53.90   47.69
2S, S, C, 9            1   82.31   52.26   53.90   76.15
3C, W, S, 8            1    7.69    7.69   50.00   50.00
3S, N, C, 10           3   53.85   55.77   49.56   48.52
3S, N, C, 11           2   26.92   55.77   49.56   21.60
3S, N, C, 9            1   82.31   55.77   49.56   76.98
3S, N, H, 11           1   26.92   55.77   41.73   29.42
3S, N, H, 9            1   82.31   55.77   41.73   84.81
3S, N, S, 9            3   82.31   55.77   56.77   69.77
3S, S, C, 10           6   53.85   52.26   53.90   47.69
3S, S, C, 11           1   26.92   52.26   53.90   20.77
3S, S, D, 10           1   53.85   52.26   51.59   50.00
3S, S, H, 10           6   53.85   52.26   46.73   54.86
3S, S, H, 11           5   26.92   52.26   46.73   27.93
3S, S, H, 9            1   82.31   52.26   46.73   83.32
3SX, S, C, 10          1    0.77    1.32   50.20   49.25
3SX, S, H, 10          1    0.77    1.32   49.87   49.58
4H, E, H, 7            1   26.15   26.15   50.00   50.00
4H, W, C, 7            1   26.15   26.15   50.00   50.00
4H, W, S, 7            1   26.15   26.15   50.00   50.00
4HX, W, S, 7           1   83.08   83.08   50.00   50.00
4S, N, C, 10           1   11.54   34.64   45.48   31.42
4S, N, C, 9            1   96.92   34.64   45.48  116.80
4S, N, H, 10           1   11.54   34.64   45.55   31.35
4S, N, H, 11           1    6.15   34.64   45.55   25.96
4S, N, S, 10           2   11.54   34.64   60.51   16.38
4S, S, C, 9            1   96.92   21.85   52.41  122.66
4S, S, H, 10           2   11.54   21.85   48.68   41.01
4S, S, H, 9            1   96.92   21.85   48.68  126.39
4SX, N, C, 10          2    3.85   29.98   44.94   28.93
4SX, N, C, 8           1  100.00   29.98   44.94  125.09

DECLARER, Board 8|16

Contract           Count Overall     Bid    Play
3NT, E, D, 10          1   56.92   65.13   41.79
3NT, E, H, 10          1   56.92   65.13   41.79
3NT, W, C, 10          4   56.92   55.44   51.49
3NT, W, C, 11          1   81.54   55.44   76.10
3NT, W, D, 10          3   56.92   55.44   51.49
3NT, W, H, 10          4   56.92   55.44   51.49
3NT, W, S, 10          2   56.92   55.44   51.49
3NT, W, S, 8           1   10.00   55.44    4.56
3S, N, C, 6            2   80.00   80.17   49.83
3S, N, H, 6            3   80.00   80.17   49.83
4H, E, S, 10          11   36.92   45.24   41.68
4H, E, S, 11           4   74.62   45.24   79.37
4H, E, S, 9            2   10.00   45.24   14.76
4H, W, D, 9            3   10.00   25.26   34.74
4H, W, S, 11           1   74.62   25.26   99.36
4S, N, C, 6            1   74.62   74.88   49.73
4S, N, H, 6            1   74.62   74.88   49.73
4SX, N, C, 6           5    8.46   11.65   46.81
4SX, N, C, 7           1   72.31   11.65  110.65
4SX, N, H, 6           7    8.46   11.65   46.81
5H, E, S, 11           3   74.62   29.51   95.10
5H, W, D, 9            1    2.31   15.64   36.67
5H, W, S, 10           1   10.00   15.64   44.36
5HX, E, S, 10          1    2.31   33.08   19.23
5HX, E, S, 9           1    0.00   33.08   16.92
6NT, E, C, 11          1   10.00    4.87   55.13

DEFENDER, Board 8|16

Contract           Count Overall     Bid    Lead Restdef
3NT, E, D, 10          1   43.08   34.87   58.21   50.00
3NT, E, H, 10          1   43.08   34.87   58.21   50.00
3NT, W, C, 10          4   43.08   44.56   43.59   54.92
3NT, W, C, 11          1   18.46   44.56   43.59   30.31
3NT, W, D, 10          3   43.08   44.56   48.51   50.00
3NT, W, H, 10          4   43.08   44.56   48.51   50.00
3NT, W, S, 10          2   43.08   44.56   64.15   34.36
3NT, W, S, 8           1   90.00   44.56   64.15   81.28
3S, N, C, 6            2   20.00   19.83   49.80   50.37
3S, N, H, 6            3   20.00   19.83   50.17   50.00
4H, E, S, 10          11   63.08   54.76   50.00   58.32
4H, E, S, 11           4   25.38   54.76   50.00   20.63
4H, E, S, 9            2   90.00   54.76   50.00   85.24
4H, W, D, 9            3   90.00   74.74   65.26   50.00
4H, W, S, 11           1   25.38   74.74   19.49   31.15
4S, N, C, 6            1   25.38   25.12   49.67   50.60
4S, N, H, 6            1   25.38   25.12   50.27   50.00
4SX, N, C, 6           5   91.54   88.35   46.10   57.09
4SX, N, C, 7           1   27.69   88.35   46.10   -6.75
4SX, N, H, 6           7   91.54   88.35   53.19   50.00
5H, E, S, 11           3   25.38   70.49   50.00    4.90
5H, W, D, 9            1   97.69   84.36   63.33   50.00
5H, W, S, 10           1   90.00   84.36   23.33   82.31
5HX, E, S, 10          1   97.69   66.92   50.00   80.77
5HX, E, S, 9           1  100.00   66.92   50.00   83.08
6NT, E, C, 11          1   90.00   95.13   44.87   50.00

DECLARER, Board 9|1

Contract           Count Overall     Bid    Play
1H, W, C, 8            1   42.31   48.02   44.29
2C, W, C, 10           3   56.15   62.59   43.57
2C, W, C, 11           2   68.46   62.59   55.87
2C, W, C, 12           1   72.31   62.59   59.72
2HX, S, H, 6           1   23.08   23.08   50.00
2HX, W, H, 9           1   98.46   96.21   52.26
2S, S, H, 7            2   66.92   71.16   45.77
2S, S, S, 6            1   63.85   71.16   42.69
2SX, S, H, 6           1   23.08   56.28   16.79
3C, E, S, 10           2   56.15   61.08   45.08
3C, W, C, 11           1   68.46   62.59   55.87
3C, W, S, 10           1   56.15   62.59   43.57
3D, E, H, 11           1   68.46   50.71   67.75
3D, E, S, 10           6   56.15   50.71   55.44
3D, E, S, 9            4   42.31   50.71   41.60
3D, W, C, 8            1   21.54   31.92   39.62
3D, W, S, 9            1   42.31   31.92   60.38
3H, W, C, 8            2   21.54   32.44   39.10
3NT, E, S, 8           1   21.54   21.54   50.00
3NT, W, S, 8           4   21.54   34.92   36.62
3NT, W, S, 9           1   88.46   34.92  103.54
3SX, N, H, 7           2   23.08   23.08   50.00
3SX, S, C, 7           1   23.08   23.21   49.87
3SX, S, H, 8           1   63.85   23.21   90.64
4D, E, S, 9            1   21.54   41.12   30.41
4H, W, C, 8            2    6.15   10.00   46.15
4H, W, C, 9            1   21.54   10.00   61.54
4H, W, S, 8            1    6.15   10.00   46.15
4SX, N, H, 7           1    3.08    3.08   50.00
5C, E, S, 11           2   88.46   48.31   90.15
5C, W, H, 11           1   88.46   57.98   80.48
5C, W, S, 10           3   21.54   57.98   13.56
5C, W, S, 11           6   88.46   57.98   80.48
5C, W, S, 9            1    6.15   57.98   -1.82
5DX, E, S, 9           1    0.00   10.30   39.70
6C, E, S, 10           1    6.15   12.31   43.85
6C, W, D, 12           1  100.00   21.47  128.53
6C, W, S, 10           2    6.15   21.47   34.69

DEFENDER, Board 9|1

Contract           Count Overall     Bid    Lead Restdef
1H, W, C, 8            1   57.69   51.98   51.90   53.81
2C, W, C, 10           3   43.85   37.41   48.85   57.58
2C, W, C, 11           2   31.54   37.41   48.85   45.27
2C, W, C, 12           1   27.69   37.41   48.85   41.43
2HX, S, H, 6           1   76.92   76.92   50.00   50.00
2HX, W, H, 9           1    1.54    3.79   47.74   50.00
2S, S, H, 7            2   33.08   28.84   47.11   57.12
2S, S, S, 6            1   36.15   28.84   57.31   50.00
2SX, S, H, 6           1   76.92   43.72   43.59   89.62
3C, E, S, 10           2   43.85   38.92   50.00   54.92
3C, W, C, 11           1   31.54   37.41   48.85   45.27
3C, W, S, 10           1   43.85   37.41   51.82   54.62
3D, E, H, 11           1   31.54   49.29   32.25   50.00
3D, E, S, 10           6   43.85   49.29   51.48   43.08
3D, E, S, 9            4   57.69   49.29   51.48   56.92
3D, W, C, 8            1   78.46   68.08   60.38   50.00
3D, W, S, 9            1   57.69   68.08   39.62   50.00
3H, W, C, 8            2   78.46   67.56   53.63   57.27
3NT, E, S, 8           1   78.46   78.46   50.00   50.00
3NT, W, S, 8           4   78.46   65.08   50.00   63.38
3NT, W, S, 9           1   11.54   65.08   50.00   -3.54
3SX, N, H, 7           2   76.92   76.92   50.00   50.00
3SX, S, C, 7           1   76.92   76.79   50.13   50.00
3SX, S, H, 8           1   36.15   76.79   44.94   14.42
4D, E, S, 9            1   78.46   58.88   52.28   67.31
4H, W, C, 8            2   93.85   90.00   51.28   52.56
4H, W, C, 9            1   78.46   90.00   51.28   37.18
4H, W, S, 8            1   93.85   90.00   53.85   50.00
4SX, N, H, 7           1   96.92   96.92   50.00   50.00
5C, E, S, 11           2   11.54   51.69   50.00    9.85
5C, W, H, 11           1   11.54   42.02   19.52   50.00
5C, W, S, 10           3   78.46   42.02   56.74   79.70
5C, W, S, 11           6   11.54   42.02   56.74   12.78
5C, W, S, 9            1   93.85   42.02   56.74   95.09
5DX, E, S, 9           1  100.00   89.70   57.22   53.08
6C, E, S, 10           1   93.85   87.69   50.00   56.15
6C, W, D, 12           1    0.00   78.53  -28.53   50.00
6C, W, S, 10           2   93.85   78.53   58.57   56.74

DECLARER, Board 9|2

Contract           Count Overall     Bid    Play
2S, E, H, 8            1   58.46   77.05   31.42
2S, E, H, 9            8   77.69   77.05   50.65
3NT, E, D, 9           1   96.92   96.92   50.00
3S, E, D, 9            6   77.69   75.31   52.38
3S, E, H, 9           10   77.69   75.31   52.38
4S, E, C, 9            1   30.77   31.08   49.69
4S, E, D, 10           1   99.23   31.08  118.15
4S, E, D, 8            1    1.54   31.08   20.46
4S, E, D, 9            2   30.77   31.08   49.69
